gene,logp
o1000,0
o1001,0
o1002,0
o1003,0
o1004,0
o1005,0
o1006,0.686018225526422
o1007,0
o1008,1.61052750817391
o1009,0.00190210081759862
o100,0.0174485708028677
o1010,0.499697354420935
o1011,0.00155243673274702
o1012,0
o1013,0
o1014,0
o1015,0
o1016,0
o1017,0
o1018,0.243148467179516
o1019,0
o101,0
o1020,0
o1021,0
o1022,0
o1023,0
o1024,0
o1025,0.386038160864536
o1026,0
o1027,0
o1028,0
o1029,0
o102,0
o1030,3.87132398311206
o1031,0
o1032,4.5063835188156
o1033,0
o1034,0.0592381767051063
o1035,0
o1036,0
o1037,0
o1038,0
o1039,0
o103,0
o1040,0.726143013644111
o1041,0
o1042,0
o1043,0
o1044,0
o1045,0
o1046,0
o1047,0
o1048,0
o1049,0
o104,0
o1050,0.111710797127931
o1051,0
o1052,0
o1053,0
o1054,0
o1055,0
o1056,0
o1057,0
o1058,0.555526709639583
o1059,0.000849619187305276
o105,0
o1060,0.000490325370224347
o1061,3.39234018119021
o1062,0.00537876077706215
o1063,0.000981203969040782
o1064,0.000490325370224347
o1065,0
o1066,0.0262263726128315
o1067,0
o1068,3.89028034092223
o1069,0
o106,0
o1070,0
o1071,0
o1072,0
o1073,0.28255669483112
o1074,0
o1075,0.0664853815052911
o1076,0.394722309552716
o1077,0
o1078,0
o1079,0
o107,0.298562212953403
o1080,0
o1081,0
o1082,0
o1083,0.000490325398111812
o1084,0
o1085,0
o1086,0
o1087,0.00196462192400921
o1088,0.595506977489698
o1089,0
o108,0.000693586810146689
o1090,0
o1091,0
o1092,0.0960121989763269
o1093,0
o1094,6.52923629950992
o1095,0
o1096,0
o1097,0.443567724657058
o1098,0
o1099,0
o109,0
o10,2.04346695896165
o1100,0
o1101,0
o1102,0
o1103,0
o1104,0
o1105,0
o1106,0
o1107,0.327983895261354
o1108,4.83692805037096
o1109,0
o110,0
o1110,5.21474739595379
o1111,0
o1112,0
o1113,0
o1114,0
o1115,0
o1116,0
o1117,0
o1118,0
o1119,0
o111,1.01343549492681
o1120,3.94793582381261
o1121,0
o1122,0
o1123,0.000490325371095829
o1124,0.000693586810146689
o1125,0
o1126,0
o1127,0
o1128,0
o1129,0.00666154912923692
o112,0
o1130,0
o1131,0
o1132,0
o1133,0.000693586810146689
o1134,0
o1135,0
o1136,0
o1137,0
o1138,0
o1139,0.000490325370224347
o113,0
o1140,0
o1141,0
o1142,0.0248236149240496
o1143,0
o1144,0
o1145,0
o1146,0
o1147,0.00225149631129165
o1148,0.171197591282667
o1149,0
o114,1.54144458345936
o1150,0
o1151,0
o1152,0.0112528046576532
o1153,0
o1154,0
o1155,0
o1156,0.000490325370224347
o1157,0.51431591149221
o1158,0
o1159,0.00155243673274702
o115,0
o1160,0
o1161,0
o1162,0
o1163,0
o1164,0
o1165,0
o1166,0
o1167,0
o1168,0.361889607780643
o1169,0
o116,0.00337261456834207
o1170,0
o1171,0
o1172,2.12511584475804
o1173,0
o1174,0
o1175,0.316143189407889
o1176,0.138824915530085
o1177,0
o1178,0
o1179,0
o117,0
o1180,0
o1181,0
o1182,0
o1183,0.811626120459422
o1184,0
o1185,0
o1186,0
o1187,0
o1188,0
o1189,0.101844653956051
o118,0
o1190,0
o1191,0
o1192,0
o1193,0
o1194,5.26894463179057
o1195,0
o1196,0.00264701869643927
o1197,0
o1198,0
o1199,0.0176878160151726
o119,0.00448753903121046
o11,0
o1200,0
o1201,0
o1202,0
o1203,0
o1204,0
o1205,0
o1206,0
o1207,10.6877059005438
o1208,0
o1209,0.585333753401948
o120,0.000490325370224347
o1210,0
o1211,1.68037997949082
o1212,0.0055577467863768
o1213,0
o1214,8.62450809383721
o1215,0
o1216,0
o1217,0
o1218,0.0531384659460582
o1219,0
o121,0
o1220,0.00537876077835464
o1221,0
o1222,0
o1223,0
o1224,4.50429389478781
o1225,0
o1226,0.052805824923896
o1227,0
o1228,0.00717684446423573
o1229,0
o122,8.57909190501549
o1230,0
o1231,0.00177049257521816
o1232,0.252085914996524
o1233,0
o1234,0
o1235,0
o1236,0
o1237,0
o1238,1.95982205659015
o1239,0
o123,2.44890840309615
o1240,0
o1241,0
o1242,0
o1243,0.0669882626078619
o1244,0.182655008469912
o1245,0
o1246,0
o1247,0
o1248,0
o1249,0
o124,0
o1250,0
o1251,0
o1252,0
o1253,0.513532872775865
o1254,0
o1255,0
o1256,0
o1257,0
o1258,0.0352322079708118
o1259,0
o125,0
o1260,0.00155243673495714
o1261,0
o1262,0
o1263,0
o1264,0
o1265,0
o1266,0
o1267,0
o1268,0
o1269,0
o126,0.151329035010624
o1270,0
o1271,0.0447000413591733
o1272,1.55379580938691
o1273,0.000981203969040782
o1274,0
o1275,0
o1276,0.0678167506791662
o1277,0
o1278,0
o1279,0
o127,0
o1280,0
o1281,0
o1282,0
o1283,0
o1284,0.292548054665268
o1285,0
o1286,0.000693586810146689
o1287,0
o1288,0.495529744411781
o1289,0
o128,0
o1290,0
o1291,0
o1292,0.000490325370224347
o1293,0
o1294,0
o1295,0
o1296,0
o1297,0.43622643352323
o1298,0
o1299,0.138735134475573
o129,0
o12,0
o1300,0
o1301,0
o1302,0
o1303,0
o1304,1.80652461413629
o1305,0
o1306,0
o1307,0
o1308,0
o1309,0.290485462853872
o130,0.347939997199415
o1310,0
o1311,0
o1312,0
o1313,0.00278099034262127
o1314,0
o1315,0
o1316,0
