gene,logp
o1000,0
o1001,0
o1002,0
o1003,0
o1004,0
o1005,0
o1007,0
o1008,2.23638955958445
o1009,0.00147263606395179
o100,0
o1010,0
o1011,0.00170089861761191
o1012,0
o1013,0
o1014,0
o1015,0
o1016,0
o1017,0
o1018,0.24315029257287
o1019,0
o101,0
o1020,0
o1021,0
o1022,0
o1023,0
o1025,0
o1027,0
o1028,0
o1029,0
o102,0
o1030,0.342254468071351
o1031,0
o1033,0
o1035,0
o1036,0
o1037,0
o1038,0
o1039,0
o103,0.304413138407233
o1040,0.726136540441513
o1041,0
o1042,0
o1043,0
o1044,0
o1045,0
o1046,0
o1047,0
o1048,0
o1049,0
o104,0.000981203969040782
o1050,0.28115847563342
o1051,0.343953087667756
o1052,0.394517180385444
o1053,0
o1054,0
o1055,0
o1056,0
o1057,0
o1058,0
o1059,0.000849619187305276
o105,0.00402977130909123
o1060,0.000490325370224347
o1061,0
o1062,0
o1063,0
o1064,0.00170089861559369
o1065,0
o1066,0
o1067,0
o1068,0.415684030168008
o1069,0.0328710411196981
o106,0
o1070,0
o1071,0
o1072,0
o1073,0.28255669483112
o1074,0
o1075,0
o1076,0
o1077,0
o1078,0.0262213785095594
o1079,0
o107,0
o1080,0
o1081,0.0313333725273123
o1082,0
o1083,0
o1084,2.34775198372003
o1085,0
o1086,0
o1087,0
o1088,0
o1089,0
o108,0.000693586810146689
o1090,0
o1091,0
o1092,0
o1093,0.00170089861559369
o1094,0
o1095,0
o1096,0
o1098,0
o1099,0
o109,0
o10,3.07777349316916
o1100,0
o1101,0
o1102,0.101804754444363
o1103,0
o1104,0
o1105,0.0663274576662925
o1106,0.428199387235191
o1107,0.327980751376516
o1108,4.83692805037096
o1109,0.237554371869801
o110,0
o1110,6.34925122920919
o1111,0
o1112,0
o1113,0
o1114,0
o1115,0
o1116,0
o1117,0
o1118,0
o1119,0.000981203969040782
o111,5.01063795911409
o1120,0.00303138066597949
o1121,0
o1122,0
o1123,0.00120202915947106
o1124,0.000693586810146689
o1125,0
o1126,0
o1128,0
o1129,0
o112,0
o1130,0
o1132,0.668752887036798
o1133,0.000693586810146689
o1134,0
o1135,0.00129848356392237
o1136,0
o1137,0
o1138,0
o1139,0.0478170133796898
o113,0.00282424860281342
o1140,0.310586373626261
o1141,0.00162835106906948
o1142,0
o1143,0
o1144,0
o1145,0.0280228337076359
o1146,0
o1147,0.00307114765732067
o1148,0.171197591282667
o1149,0
o114,2.93615887681722
o1150,0.00138828029909907
o1151,0
o1152,0
o1153,0
o1154,0
o1155,0
o1156,0.000490325370224347
o1157,0
o1158,0
o1159,0.000490325370224347
o115,0
o1160,0
o1162,0
o1163,0
o1164,0
o1165,0.0478608990243291
o1166,0
o1167,0
o1168,0
o1169,0
o116,0.00340844388167207
o1170,0
o1171,0
o1172,0.737669314053684
o1173,0
o1174,0
o1175,0
o1176,0.28571911968061
o1177,0
o1178,0
o117,0
o1180,0
o1181,0
o1182,0
o1184,0
o1185,0
o1186,0
o1187,0
o1188,0
o118,0
o1190,0
o1191,0
o1192,0
o1193,0
o1194,5.26894463179057
o1195,0
o1196,0.00162835106063917
o1197,0
o1198,0
o1199,0
o119,0.000849619175219703
o11,0
o1200,0
o1201,0
o1202,0
o1203,0.00477722960397702
o1204,0
o1205,0
o1206,0.00245716181387127
o1207,10.6876752939667
o1208,0
o1209,0
o120,0.000490325370224347
o1210,0
o1211,1.37823005831698
o1212,0.0055577467863768
o1213,0
o1215,0
o1216,0
o1217,0
o1219,0
o121,0
o1220,0.00537876077835464
o1221,0
o1222,0
o1223,0.302132116242827
o1224,0
o1225,0
o1226,0.0673364855056789
o1227,0
o1228,0.00715967880555801
o1229,0
o122,8.57909190501549
o1230,0
o1231,0
o1232,0.373774077127252
o1233,0
o1234,0
o1235,0
o1237,0
o1238,0
o1239,0
o123,0.679024015708921
o1240,0
o1241,0
o1242,0
o1243,0
o1244,0.182655008469912
o1245,0
o1246,0
o1247,0
o1248,0
o1249,0
o124,0
o1250,0
o1251,0
o1252,0
o1253,0.513573509334305
o1254,4.2216839563371
o1255,0
o1256,0
o1258,0
o1259,0
o125,0
o1260,0
o1261,0
o1262,0
o1263,0
o1264,0
o1265,0
o1266,0
o1267,0
o1268,0
o1269,0
o126,0.151329035010624
o1270,0
o1271,0.0447000413591733
o1272,0
o1273,0.401814683195386
o1274,0
o1275,0
o1276,0
o1277,0
o1278,0
o1279,0
o127,0
o1280,0
o1281,0
o1282,0
o1283,0
o1284,0
o1285,0
o1286,0
o1287,0
o1288,0.495519123821748
o1289,0
o128,0
o1290,0
o1291,0
o1292,0.000490325370224347
o1293,0
o1294,0
o1295,0
o1296,0
o1297,0.43622643352323
o1298,0
o1299,0
o129,0.000693586810146689
o12,0
o1300,0
o1301,0
o1302,0
o1303,0
o1304,1.80649154253934
o1305,0
o1306,0
o1307,0
o1308,0
o1309,0
o130,0.347939997199415
o1310,0
o1311,0.30546646315692
o1312,0.00585806594171568
o1314,0.000490325370224347
o1315,0
o1316,0.0136748651237295
o1317,0.0190235257213403
o1318,0
o1319,0.00333640498814997
o131,0
o1320,0
o1321,0.292710695672334
o1322,0.373637611894427
o1323,0.244503623011904
o1324,0
o1325,0
o1326,0
o1327,0
o1328,0.180402109624872
o132,0
o1330,0
o1331,0
o1332,0.00120202915804565
o1333,0
o1334,0
o1335,0
o1336,3.98806470434245
o1337,0
o1338,0
