gene,logp
o1000,0
o1001,0
o1002,0
o1003,0
o1005,0
o1006,0.000490325370224347
o1007,0
o1008,0.00219709866110692
o1009,0.00318750381252668
o100,0.0316125893628375
o1010,0
o1011,0.00120202916089661
o1012,0
o1013,0.307954187213589
o1014,0.303970138562623
o1015,0
o1016,1.82196814628713
o1017,0
o1018,0
o1019,0
o101,0
o1020,0
o1021,0
o1022,0
o1023,0
o1024,0
o1025,0
o1026,0
o1027,0
o1028,0
o1029,0
o102,0
o1030,0.337505709545453
o1031,0
o1032,4.63532667589968
o1033,0
o1034,0
o1035,0
o1036,0
o1037,0
o1038,0
o1039,0
o103,0
o1040,0
o1041,0
o1042,0
o1043,0
o1044,0
o1045,0
o1046,8.61136873728148
o1047,0
o1048,0
o1049,0
o1050,0.894624277191187
o1051,0
o1052,0
o1053,0
o1054,0
o1055,0
o1056,0
o1057,0
o1058,0
o1059,0.000849619187305276
o105,0
o1060,0
o1061,0.00138828029909907
o1063,0
o1064,0
o1065,0
o1066,0
o1067,0
o1068,0
o1069,0
o106,0
o1070,0.000849619171191163
o1071,0
o1073,0.280630069087163
o1074,0
o1075,0
o1076,0.39410461363587
o1077,0
o1078,0
o1079,0
o107,0
o1080,0
o1081,0
o1083,0.00109716544360817
o1084,3.24852118388519
o1085,2.41766945160167
o1086,0
o1087,0.0017704925771575
o1088,0
o1089,0
o108,0.000693586810146689
o1090,0
o1091,0
o1092,0
o1093,0
o1094,0
o1095,0
o1096,0
o1097,0.444002734294175
o1098,0.0144013186860862
o1099,0
o109,0
o10,0
o1100,0
o1101,0
o1102,5.48505160846596
o1103,0
o1104,0.403505395889001
o1106,0
o1107,0
o1108,4.83681237304495
o1109,0
o110,0
o1110,0
o1111,0.355179744808226
o1112,0
o1113,0
o1114,0
o1115,0
o1116,0
o1117,0
o1118,0.303200665896543
o1119,0
o111,0
o1120,7.05167167561652
o1121,0
o1122,0
o1123,0
o1125,0
o1126,0
o1127,0
o1129,0
o112,0.000490325370224347
o1130,0
o1131,0
o1132,0
o1133,0.0220777822573673
o1134,0
o1135,0
o1136,0
o1137,0
o1138,0.206535401332084
o1139,0
o113,0
o1140,0.204927164377965
o1141,0.00884100297361688
o1142,0
o1143,0
o1144,0
o1145,0
o1147,0
o1148,0.172154005536896
o1149,0
o114,0
o1150,0.001472636066281
o1153,0.100504083203872
o1154,0
o1155,0.00446028551911661
o1156,0.0061639258352564
o1157,0
o1158,0
o1159,0
o115,0.00678942827182912
o1160,0
o1161,0
o1162,0
o1163,0
o1164,0
o1166,0
o1167,0
o1168,0
o1169,0
o116,0
o1170,0
o1171,0
o1172,0
o1173,0
o1174,0
o1175,0
o1176,0
o1177,0
o1178,0.000693586810146689
o1179,0.00402977130909123
o117,0
o1180,0
o1181,0
o1182,3.61967476456656
o1183,0.827976755342657
o1184,0
o1186,0
o1187,0
o1188,0
o1189,0
o1190,0
o1191,0
o1192,0
o1193,0.424122792439286
o1194,5.26721587766926
o1195,0
o1196,0
o1197,0
o1198,0
o1199,0.0039070826833815
o119,0.00109716543424141
o11,0
o1200,0
o1202,0
o1203,0
o1204,0
o1205,0
o1206,2.21923158088652
o1208,0
o1209,5.58628546165674
o1210,0.000981203969040782
o1211,0.0338744027874435
o1212,0
o1213,0
o1214,8.62443764535084
o1215,0
o1216,0
o1217,0
o1218,0
o1219,0
o121,0
o1220,0
o1221,0
o1222,0.136494578613428
o1223,0
o1224,0
o1227,0
o1228,0.00715967880555801
o1229,0.0217951134769354
o122,8.57914006652386
o1230,0
o1232,0
o1233,6.08801141033948
o1234,0
o1235,0
o1236,0
o1237,0
o1238,5.15188230238871
o123,0
o1240,0
o1241,0
o1242,0
o1243,0.0547081982841722
o1244,0
o1245,5.5603225452924
o1246,0
o1247,0
o1248,0
o1249,0
o124,0
o1250,0
o1251,0
o1252,0
o1253,0
o1254,1.48214529166977
o1255,0.00202522645083535
o1256,0
o1257,0
o1258,0
o1259,0
o125,0
o1260,0
o1261,0
o1262,0
o1263,0
o1264,0
o1265,0.2303292564221
o1266,0
o1267,0
o1268,0
o1269,0
o126,0
o1270,0
o1271,0
o1272,0
o1273,0.00120202918085289
o1274,0
o1275,0
o1277,0
o1278,0
o1279,0
o127,0
o1280,0
o1281,6.77982165802468
o1282,0
o1283,7.42446398162768
o1284,0.292470867653557
o1285,0
o1287,0
o1288,0
o1289,0
o128,0
o1290,0
o1291,0
o1292,0.26353043215775
o1293,0
o1294,0
o1295,0
o1296,2.37628609120199
o1297,0.434546611393598
o1298,0.302924927078263
o1299,0
o129,1.21010869072956
o12,0.335577807535923
o1300,0
o1301,0
o1302,0
o1303,0
o1304,0
o1305,0
o1306,0
o1307,0.364766411422971
o1308,0
o1309,0
o130,0.347773168728456
o1310,0
o1311,4.46576205312918
o1312,0
o1313,0
o1314,0.349266468890499
o1315,0
o1316,0
o1317,0
o1318,0
o1319,0
o131,0
o1320,0
o1321,0.292406952565595
o1322,0
o1323,0
o1324,0
o1325,0
o1326,0.420945342696889
o1327,0
o1328,0.181293651628814
o1329,0
o132,0.0957635348129272
o1331,0
o1333,0.0711132863729095
o1334,0
o1335,0
o1336,0
o1337,1.41516046013767
o1338,0
o1339,0
o133,0.211189103732088
o1340,0
o1341,0
o1342,0
o1343,0
o1344,0
o1345,0
o1346,0
o1349,0
o134,0
o1350,0.399308471681465
o1351,0
o1352,0
o1353,0
o1354,0
