gene,logp
o1000,0
o1002,0
o1004,0
o1005,0
o1006,0.686018225526422
o1007,0
o1008,0
o1009,0.00318750381252668
o100,0.000490325370224347
o1010,2.04923089600135
o1011,0.00202522644744157
o1012,0
o1013,0
o1014,0
o1015,0
o1016,0.302118227002034
o1017,0
o1018,0
o1019,0
o101,0
o1021,0
o1022,0
o1023,0
o1024,0
o1025,0.386044012988164
o1026,0
o1027,0
o1028,0
o1029,0
o102,0
o1030,4.59892384293554
o1031,0
o1032,4.5063835188156
o1033,0
o1034,0.0592381767051063
o1035,0
o1036,0
o1037,0
o1038,0
o1039,0
o103,0.230469295455957
o1040,0
o1041,0
o1042,0
o1043,0
o1044,0
o1045,0
o1046,0
o1047,0
o1048,0
o1049,0
o104,0
o1050,0
o1051,0
o1052,0
o1053,0
o1054,0
o1055,0.0285448294699641
o1056,0
o1057,0
o1058,0.555522242982483
o105,0
o1061,4.19602882290761
o1062,0.00361605649440211
o1063,0
o1064,0
o1065,0
o1066,1.16258744219308
o1068,4.2912023246868
o1069,0
o106,0
o1070,0
o1071,0
o1072,0
o1074,0
o1075,0.32746653904957
o1076,0.394720860031657
o1077,0
o1078,0.0115591881278853
o1079,0
o107,0.0635342256358748
o1080,0
o1081,0
o1082,0
o1083,0.0582418233668885
o1084,2.34775198372003
o1085,0
o1087,0.00202522644744157
o1088,0.595500738689825
o1089,0
o1090,0
o1091,0
o1092,0.0959688426895911
o1093,0
o1094,9.54039638293836
o1095,0
o1096,0
o1097,0.443567724657058
o1099,0
o109,0
o10,0
o1101,0.0181573879500093
o1102,0.181981034478236
o1103,0
o1105,0
o1106,0
o1107,0.000693586810146689
o1109,0
o110,0
o1110,0.0115375632160812
o1111,0
o1112,0
o1113,0
o1114,0
o1115,0
o1116,0
o1117,0
o1118,0
o1119,0
o111,0
o1120,3.94789714886229
o1121,0.0657891109600919
o1122,0
o1123,0.000849619172701841
o1124,0.000490325370224347
o1125,0
o1127,0
o1128,0.00278099034262127
o1129,0
o1131,0
o1132,0
o1134,0
o1135,0
o1136,0
o1137,0.0140739194745966
o1138,0
o1139,0
o113,0
o1140,0
o1141,0
o1142,0.030372861955083
o1143,0
o1144,0.392029633635899
o1145,0
o1146,0.00587894153828223
o1147,0
o1149,0
o114,0
o1150,0.000981203969040782
o1151,0
o1152,0.000693586810146689
o1153,0
o1154,0
o1157,0.642567740190186
o1159,0
o1160,0.144793183129515
o1161,0
o1162,0
o1163,0
o1164,0
o1165,0
o1166,0
o1167,0
o1168,0.361890359809728
o1169,0
o116,0
o1170,0.41128848999724
o1171,0.000490325370224347
o1172,0
o1173,0
o1174,0
o1175,0.316784123214612
o1176,0
o1177,0
o1178,0
o1179,0
o117,0
o1180,0
o1182,0.000981203976020569
o1183,0.811626120459422
o1184,0
o1185,0.000849619171191163
o1186,0
o1187,0
o1188,0
o1189,0.101844653956051
o118,0
o1190,0
o1191,0
o1192,0.264639298684458
o1193,0
o1195,0
o1196,0
o1197,0
o1198,0
o1199,0.0134990682392256
o119,0.000693586810146689
o11,0
o1200,0
o1201,0.00749570446998888
o1202,0.09275782301097
o1203,0
o1204,0.425970483092217
o1205,0
o1206,0
o1207,10.6876744068195
o1208,0
o1209,0.585328734920506
o120,0
o1210,0
o1211,0.195212700755282
o1212,0
o1213,0
o1214,8.62450809383721
o1215,0.349420759434974
o1216,0
o1217,0
o1218,0.0531384659460582
o1219,0
o121,0
o1221,0
o1222,0
o1223,0
o1224,4.11420108790519
o1225,0
o1226,0.052805824923896
o1227,0
o1228,0
o1230,0
o1231,0.00120202915804565
o1232,0
o1233,0
o1234,0
o1235,0
o1236,0
o1237,0
o1238,1.59271513999468
o1239,0
o123,4.81807497278267
o1241,0
o1242,0
o1243,0.349984197103164
o1245,0
o1246,0
o1247,0
o1249,0
o124,0
o1253,0
o1254,0
o1255,0
o1256,0
o1257,0
o1258,0.0464059207392097
o1259,0
o125,0
o1260,0
o1262,0
o1263,0
o1264,0
o1265,0
o1266,0
o1267,0.00170089861761191
o1268,0
o1269,0
o1270,0
o1272,1.5537942980517
o1273,0
o1274,0
o1275,0
o1276,0
o1277,0
o1278,0
o1279,0
o127,0
o1280,0
o1281,0
o1282,0
o1283,0
o1284,0.292548054665268
o1285,0
o1286,0.02596047185675
o1287,0
o1288,0
o1289,0
o128,0
o1290,0
o1291,0.34282468978679
o1293,0
o1294,0
o1295,0
o1296,0
o1298,0
