ortho	matches	percent
o1	3	100.0
o2	3	100.0
o3	3	100.0
o4	3	100.0
o5	2	66.6666666667
o6	3	100.0
o7	2	66.6666666667
o8	2	66.6666666667
o9	3	100.0
o10	3	100.0
o11	2	66.6666666667
o12	3	100.0
o13	3	100.0
o14	3	100.0
o15	3	100.0
o16	1	33.3333333333
o17	3	100.0
o18	3	100.0
o19	3	100.0
o20	3	100.0
o21	3	100.0
o22	3	100.0
o23	3	100.0
o24	3	100.0
o25	3	100.0
o26	2	66.6666666667
o27	3	100.0
o28	3	100.0
o29	1	33.3333333333
o30	3	100.0
o31	3	100.0
o32	3	100.0
o33	3	100.0
o34	2	66.6666666667
o35	3	100.0
o36	3	100.0
o37	3	100.0
o38	2	66.6666666667
o39	3	100.0
o40	2	66.6666666667
o41	3	100.0
o42	3	100.0
o43	3	100.0
o44	2	66.6666666667
o45	3	100.0
o46	3	100.0
o47	2	66.6666666667
o48	3	100.0
o49	3	100.0
o50	3	100.0
o51	3	100.0
o52	2	66.6666666667
o53	3	100.0
o54	2	66.6666666667
o55	3	100.0
o56	2	66.6666666667
o57	3	100.0
o58	3	100.0
o59	0	0.0
o60	3	100.0
o61	3	100.0
o62	3	100.0
o63	3	100.0
o64	3	100.0
o65	3	100.0
o66	2	66.6666666667
o67	3	100.0
o68	3	100.0
o69	3	100.0
o70	3	100.0
o71	3	100.0
o72	3	100.0
o73	3	100.0
o74	3	100.0
o75	3	100.0
o76	3	100.0
o77	3	100.0
o78	3	100.0
o79	2	66.6666666667
o80	3	100.0
o81	3	100.0
o82	3	100.0
o83	3	100.0
o84	3	100.0
o85	3	100.0
o86	3	100.0
o87	3	100.0
o88	3	100.0
o89	3	100.0
o90	2	66.6666666667
o91	3	100.0
o92	1	33.3333333333
o93	3	100.0
o94	3	100.0
o95	2	66.6666666667
o96	3	100.0
o97	3	100.0
o98	3	100.0
o99	2	66.6666666667
o100	3	100.0
o101	3	100.0
o102	3	100.0
o103	2	66.6666666667
o104	2	66.6666666667
o105	2	66.6666666667
o106	3	100.0
o107	3	100.0
o108	3	100.0
o109	3	100.0
o110	3	100.0
o111	2	66.6666666667
o112	2	66.6666666667
o113	2	66.6666666667
o114	3	100.0
o115	3	100.0
o116	3	100.0
o117	3	100.0
o118	0	0.0
o119	3	100.0
o120	2	66.6666666667
o121	3	100.0
o122	2	66.6666666667
o123	2	66.6666666667
o124	3	100.0
o125	3	100.0
o126	3	100.0
o127	3	100.0
o128	2	66.6666666667
o129	3	100.0
o130	3	100.0
o131	3	100.0
o132	3	100.0
o133	3	100.0
o134	3	100.0
o135	3	100.0
o136	3	100.0
o137	3	100.0
o138	2	66.6666666667
o139	3	100.0
o140	1	33.3333333333
o141	3	100.0
o142	3	100.0
o143	3	100.0
o144	3	100.0
o145	3	100.0
o146	3	100.0
o147	1	33.3333333333
o148	3	100.0
o149	3	100.0
o150	1	33.3333333333
o151	3	100.0
o152	3	100.0
o153	3	100.0
o154	1	33.3333333333
o155	1	33.3333333333
o156	3	100.0
o157	3	100.0
o158	3	100.0
o159	3	100.0
o160	3	100.0
o161	3	100.0
o162	3	100.0
o163	3	100.0
o164	3	100.0
o165	1	33.3333333333
o166	3	100.0
o167	3	100.0
o168	3	100.0
o169	3	100.0
o170	3	100.0
o171	3	100.0
o172	2	66.6666666667
o173	2	66.6666666667
o174	3	100.0
o175	1	33.3333333333
o176	2	66.6666666667
o177	2	66.6666666667
o178	3	100.0
o179	3	100.0
o180	3	100.0
o181	3	100.0
o182	2	66.6666666667
o183	2	66.6666666667
o184	3	100.0
o185	3	100.0
o186	3	100.0
o187	3	100.0
o188	3	100.0
o189	1	33.3333333333
o190	3	100.0
o191	2	66.6666666667
o192	3	100.0
o193	3	100.0
o194	3	100.0
o195	3	100.0
o196	2	66.6666666667
o197	3	100.0
o198	2	66.6666666667
o199	3	100.0
o200	2	66.6666666667
o201	3	100.0
o202	3	100.0
o203	2	66.6666666667
o204	2	66.6666666667
o205	3	100.0
o206	3	100.0
o207	3	100.0
o208	2	66.6666666667
o209	3	100.0
o210	2	66.6666666667
o211	3	100.0
o212	2	66.6666666667
o213	3	100.0
o214	3	100.0
o215	3	100.0
o216	3	100.0
o217	3	100.0
o218	3	100.0
o219	3	100.0
o220	3	100.0
o221	2	66.6666666667
o222	2	66.6666666667
o223	3	100.0
o224	2	66.6666666667
o225	3	100.0
o226	1	33.3333333333
o227	3	100.0
o228	3	100.0
o229	1	33.3333333333
o230	3	100.0
o231	2	66.6666666667
o232	3	100.0
o233	3	100.0
o234	3	100.0
o235	3	100.0
o236	3	100.0
o237	2	66.6666666667
o238	3	100.0
o239	2	66.6666666667
o240	3	100.0
o241	2	66.6666666667
o242	3	100.0
o243	3	100.0
o244	3	100.0
o245	3	100.0
o246	2	66.6666666667
o247	0	0.0
o248	2	66.6666666667
o249	3	100.0
o250	3	100.0
o251	3	100.0
o252	3	100.0
o253	3	100.0
o254	3	100.0
o255	3	100.0
o256	3	100.0
o257	3	100.0
o258	3	100.0
o259	3	100.0
o260	3	100.0
o261	3	100.0
o262	3	100.0
o263	3	100.0
o264	3	100.0
o265	3	100.0
o266	3	100.0
o267	3	100.0
o268	3	100.0
o269	3	100.0
