contig	numParameters	likelihood
o1000	7	-234.263765
o1001	6	-391.239367
o1002	7	-592.787694
o1003	6	-327.216786
o1005	7	-671.336132
o1006	6	-857.721193
o1007	7	-329.913630
o1008	7	-240.838031
o1009	7	-330.755228
o100	7	-492.687117
o1010	7	-589.778433
o1011	7	-166.730386
o1012	7	-446.122690
o1013	7	-449.035257
o1014	7	-297.754421
o1015	7	-1253.297895
o1016	7	-341.889988
o1017	7	-1978.675281
o1018	7	-378.199731
o1019	7	-246.504338
o101	7	-320.763099
o1020	6	-462.908943
o1021	7	-1256.505302
o1022	7	-349.803060
o1023	7	-736.016840
o1024	6	-485.387251
o1025	7	-360.735733
o1026	6	-287.732452
o1027	7	-389.737972
o1028	7	-799.104584
o1029	7	-373.627196
o102	7	-226.834204
o1030	7	-576.792951
o1031	7	-312.875381
o1032	6	-1100.207437
o1033	7	-342.682204
o1034	6	-834.736505
o1035	7	-391.866011
o1036	7	-421.218479
o1037	7	-358.752761
o1038	7	-298.477087
o1039	7	-557.009226
o103	7	-784.927631
o1040	7	-461.569216
o1041	7	-527.750198
o1042	7	-309.643820
o1043	7	-660.026878
o1044	7	-747.223799
o1045	7	-270.728818
o1046	7	-502.942956
o1047	7	-185.703935
o1048	7	-357.073366
o1049	7	-346.554648
o1050	7	-580.140473
o1051	7	-336.241838
o1052	7	-311.279499
o1053	7	-412.633807
o1054	7	-676.267770
o1055	7	-373.660993
o1056	7	-398.784227
o1057	7	-1222.498897
o1058	7	-569.368122
o1059	6	-1984.792216
o105	7	-255.568249
o1060	6	-481.210862
o1061	7	-473.203643
o1063	7	-269.478529
o1064	7	-263.507023
o1065	7	-140.054278
o1066	7	-677.526036
o1067	6	-293.110531
o1068	7	-276.809025
o1069	7	-1591.835965
o106	7	-470.225656
o1070	7	-521.166132
o1071	7	-221.186921
o1073	6	-1193.377373
o1074	7	-186.503171
o1075	7	-634.009275
o1076	7	-248.516201
o1077	7	-164.912435
o1078	7	-760.716798
o1079	7	-526.866854
o107	7	-1768.155799
o1080	7	-503.367206
o1081	7	-623.391323
o1083	7	-1581.015077
o1084	7	-474.742926
o1085	7	-565.463400
o1086	6	-314.295175
o1087	7	-175.657465
o1088	7	-474.079971
o1089	7	-271.149883
o108	6	-288.798118
o1090	7	-381.489673
o1091	7	-784.120926
o1092	7	-383.122698
o1093	7	-654.742830
o1094	7	-496.435785
o1095	7	-928.124053
o1096	7	-605.206417
o1097	6	-291.873435
o1098	6	-287.422531
o1099	7	-1825.496144
o109	7	-278.278406
o10	7	-805.592199
o1100	6	-518.637574
o1101	7	-196.601063
o1102	7	-288.914050
o1103	7	-431.110552
o1104	6	-382.552409
o1106	7	-448.096500
o1107	7	-314.259416
o1108	6	-336.029370
o1109	7	-592.115421
o110	7	-325.259891
o1110	7	-656.971699
o1111	7	-529.126426
o1112	7	-335.626006
o1113	7	-960.161348
o1114	7	-1067.631835
o1115	7	-298.583102
o1116	7	-308.735944
o1117	7	-216.932887
o1118	7	-365.165542
o1119	7	-440.514707
o111	7	-565.085187
o1120	7	-384.222928
o1121	7	-521.430239
o1122	7	-343.599725
o1123	7	-22.721958
o1125	7	-31.048591
o1126	6	-447.314416
o1127	6	-405.462894
o1129	7	-334.248097
o112	6	-324.946187
o1130	6	-961.038551
o1131	6	-892.913186
o1132	7	-307.087289
o1133	6	-383.000092
o1134	7	-442.732352
o1135	7	-335.920394
o1136	7	-710.501049
o1137	7	-599.094231
o1138	7	-318.262234
o1139	7	-501.615856
o113	7	-289.244070
o1140	7	-295.690531
o1141	7	-675.736516
o1142	7	-608.887499
o1143	7	-355.294285
o1144	7	-261.960312
o1145	7	-434.432028
o1147	7	-185.354847
o1148	6	-389.204923
o1149	7	-492.859155
o114	7	-243.684745
o1150	7	-134.653262
o1153	7	-805.351697
o1154	7	-318.635243
o1155	6	-684.688127
o1156	6	-454.968670
o1157	7	-724.844942
o1158	6	-561.687145
o1159	7	-208.706539
o115	6	-500.821433
o1160	7	-1052.385705
o1161	6	-657.112739
o1162	7	-611.522775
o1163	7	-359.872732
o1164	7	-498.612277
o1166	7	-399.657756
o1167	7	-396.430244
o1168	7	-209.333145
o1169	7	-601.302819
o116	7	-322.465080
o1170	7	-384.786849
o1171	7	-585.255719
o1172	7	-390.457146
o1173	7	-383.431639
o1174	7	-222.470830
o1175	7	-579.159360
o1176	7	-239.652038
o1177	7	-570.886662
o1178	7	-212.726518
o1179	6	-249.137046
o117	7	-98.458464
o1180	7	-382.199841
o1181	6	-194.741671
o1182	7	-331.444841
o1183	6	-720.295526
o1184	7	-852.213327
o1186	7	-261.823179
o1187	7	-996.622192
o1188	7	-576.528421
o1189	6	-610.753399
o1190	7	-668.050391
o1191	7	-530.829510
o1192	7	-1491.760340
o1193	7	-575.981803
o1194	6	-421.104929
o1195	7	-797.871112
o1196	7	-574.034098
o1197	7	-337.995158
o1198	7	-343.217665
o1199	7	-404.625916
o119	7	-201.932825
o11	7	-683.238558
o1200	7	-537.946819
o1202	7	-666.143252
o1203	7	-257.509585
o1204	7	-606.098451
o1205	7	-221.785662
o1206	7	-257.390638
o1208	7	-380.585608
