contig	numParameters	likelihood
o1000	8	-234.263765
o1002	8	-592.787694
o1004	7	-382.565738
o1005	8	-671.486506
o1006	7	-856.677648
o1007	8	-329.913630
o1008	8	-240.838011
o1009	8	-330.755186
o100	8	-492.683236
o1010	8	-586.281736
o1011	8	-166.730369
o1012	8	-446.122690
o1013	8	-451.540476
o1014	8	-299.433399
o1015	8	-1252.673994
o1016	8	-341.246397
o1017	8	-1978.621182
o1018	8	-378.199731
o1019	8	-246.504338
o101	8	-320.763099
o1021	8	-1256.586508
o1022	8	-349.803060
o1023	8	-736.016867
o1024	7	-485.387251
o1025	8	-359.350870
o1026	7	-287.733339
o1027	8	-390.445733
o1028	8	-799.104584
o1029	8	-373.627196
o102	8	-226.834204
o1030	8	-568.592050
o1031	8	-312.875381
o1032	7	-1091.534625
o1033	8	-342.682204
o1034	7	-834.723626
o1035	8	-391.866011
o1036	8	-421.218479
o1037	8	-358.752761
o1038	8	-298.477087
o1039	8	-557.009226
o103	8	-784.927631
o1040	8	-461.569216
o1041	8	-528.271049
o1042	8	-309.643820
o1043	8	-659.431731
o1044	8	-748.710048
o1045	8	-270.728819
o1046	8	-502.942998
o1047	8	-185.703935
o1048	8	-357.073366
o1049	8	-346.554648
o104	7	-1721.014217
o1050	8	-580.140473
o1051	8	-336.241838
o1052	8	-311.279499
o1053	8	-412.633807
o1054	8	-676.155786
o1055	8	-373.660993
o1056	8	-398.784227
o1057	8	-1222.498897
o1058	8	-567.460542
o105	8	-255.568291
o1061	8	-464.795660
o1062	7	-378.429528
o1063	8	-269.478692
o1064	8	-263.507033
o1065	8	-140.054278
o1066	8	-675.369017
o1068	8	-268.606299
o1069	8	-1591.835965
o106	8	-470.283291
o1070	8	-521.166129
o1071	8	-221.186921
o1072	7	-341.634469
o1074	8	-186.503171
o1075	8	-633.677111
o1076	8	-248.166487
o1077	8	-164.912435
o1078	8	-760.719778
o1079	8	-526.329972
o107	8	-1767.806081
o1080	8	-503.367206
o1081	8	-623.391323
o1082	7	-351.035976
o1083	8	-1580.985038
o1084	8	-474.742924
o1085	8	-566.298558
o1087	8	-175.657448
o1088	8	-471.283081
o1089	8	-271.149883
o1090	8	-381.489673
o1091	8	-784.115282
o1092	8	-383.091159
o1093	8	-654.742830
o1094	8	-477.273677
o1095	8	-928.124053
o1096	8	-605.206417
o1097	7	-291.454047
o1099	8	-1825.496144
o109	8	-278.278406
o10	8	-805.592199
o1101	8	-196.601063
o1102	8	-287.987828
o1103	8	-430.775542
o1105	7	-255.761649
o1106	8	-448.111800
o1107	8	-314.246614
o1109	8	-592.115421
o110	8	-325.259891
o1110	8	-657.011469
o1111	8	-529.353723
o1112	8	-335.626006
o1113	8	-960.161348
o1114	8	-1067.310920
o1115	8	-298.583102
o1116	8	-308.735944
o1117	8	-216.934047
o1118	8	-366.320859
o1119	8	-440.514707
o111	8	-565.085187
o1120	8	-377.193262
o1121	8	-521.409181
o1122	8	-342.612472
o1123	8	-22.721949
o1124	7	-227.888268
o1125	8	-31.048591
o1127	7	-405.463718
o1128	7	-365.509821
o1129	8	-334.248278
o1131	7	-892.913186
o1132	8	-307.087289
o1134	8	-443.760221
o1135	8	-335.920394
o1136	8	-710.501049
o1137	8	-599.094231
o1138	8	-318.262248
o1139	8	-501.615856
o113	8	-289.242810
o1140	8	-295.570277
o1141	8	-675.736516
o1142	8	-608.887499
o1143	8	-355.294285
o1144	8	-259.678960
o1145	8	-434.432028
o1146	7	-204.845126
o1147	8	-185.354846
o1149	8	-492.859155
o114	8	-243.684745
o1150	8	-134.653257
o1151	7	-751.648398
o1152	7	-1200.639411
o1153	8	-805.317404
o1154	8	-318.635243
o1157	8	-722.242860
o1159	8	-208.706549
o1160	8	-1049.516600
o1161	7	-657.112739
o1162	8	-611.522775
o1163	8	-359.872732
o1164	8	-498.614987
o1165	7	-532.161296
o1166	8	-399.162445
o1167	8	-396.430244
o1168	8	-209.027922
o1169	8	-601.302819
o116	8	-322.465080
o1170	8	-383.943009
o1171	8	-585.255718
o1172	8	-390.457146
o1173	8	-383.768980
o1174	8	-222.470830
o1175	8	-578.813542
o1176	8	-239.689771
o1177	8	-570.886662
o1178	8	-212.726519
o1179	7	-249.136979
o117	8	-98.458463
o1180	8	-381.690860
o1182	8	-331.470202
o1183	7	-719.280931
o1184	8	-852.213327
o1185	7	-967.315363
o1186	8	-261.823179
o1187	8	-997.121230
o1188	8	-576.528421
o1189	7	-610.306582
o118	7	-314.204730
o1190	8	-668.050391
o1191	8	-530.829510
o1192	8	-1488.855939
o1193	8	-577.491469
o1195	8	-798.289964
o1196	8	-574.034098
o1197	8	-337.995158
o1198	8	-343.217665
o1199	8	-404.625853
o119	8	-201.932823
o11	8	-683.238558
o1200	8	-537.946819
o1201	7	-480.053483
o1202	8	-666.384567
o1203	8	-257.509661
o1204	8	-605.351086
o1205	8	-221.785662
o1206	8	-257.390638
o1207	7	-482.461533
o1208	8	-380.585608
o1209	8	-272.115468
o120	7	-525.351800
o1210	8	-1244.220764
o1211	8	-1298.879824
o1212	8	-231.992260
o1213	8	-333.327352
o1214	7	-516.964284
o1215	8	-288.323353
o1216	8	-1084.805060
o1217	8	-946.429787
o1218	7	-1028.991813
o1219	8	-380.767994
o121	8	-399.483229
o1221	8	-485.900682
o1222	8	-908.339327
o1223	8	-737.248351
o1224	8	-329.859234
o1225	7	-858.400168
o1226	7	-587.414364
o1227	8	-161.503568
o1228	8	-228.688274
o1230	8	-374.120292
o1231	7	-935.679216
o1232	8	-225.209442
o1233	8	-305.278501
o1234	8	-322.971702
o1235	8	-444.880798
o1236	7	-523.054114
o1237	8	-674.883646
o1238	8	-727.958842
o1239	7	-445.961595
o123	8	-537.914596
o1241	8	-326.509517
o1242	8	-450.728119
o1243	8	-386.937837
o1245	8	-458.811743
o1246	8	-258.621500
o1247	8	-172.778838
o1249	8	-529.013974
o124	8	-432.061425
o1253	8	-369.932528
o1254	8	-1043.090977
o1255	8	-2015.414056
o1256	8	-306.202907
o1257	7	-589.175935
o1258	8	-490.830981
o1259	8	-156.000303
o125	8	-629.965669
o1260	8	-271.767829
o1262	8	-317.494690
o1263	8	-410.380723
o1264	8	-1069.313833
o1265	8	-189.770888
o1266	8	-801.326405
o1267	8	-249.565647
o1268	8	-407.386388
o1269	8	-262.141934
o1270	8	-542.299800
o1272	8	-397.674857
o1273	8	-2137.900213
o1274	8	-453.518733
o1275	8	-395.725891
o1276	7	-179.623181
o1277	8	-507.879407
o1278	8	-299.356399
o1279	8	-156.012841
o127	8	-383.097302
o1280	8	-264.960429
o1281	8	-420.932145
o1282	8	-438.920559
o1283	8	-455.673383
o1284	8	-300.133715
