contig	species	dN	dS	dNdS
TR10006-c0_g1_i1	macro	0.0000	0.0133	0.0010
TR10033-c0_g2_i2	macro	0.0000	0.0000	0.3569
TR1003-c0_g1_i2	macro	0.0000	0.0315	0.0010
TR10044-c0_g1_i1	macro	0.0000	0.0287	0.0010
TR10076-c0_g1_i1	macro	0.0000	0.0000	0.1119
TR10078-c0_g3_i3	macro	0.0000	0.0111	0.0010
TR10080-c1_g2_i1	macro	0.0000	0.0398	0.0010
TR10096-c3_g10_i1	macro	0.0514	0.1115	0.4608
TR10096-c3_g14_i4	macro	0.0660	0.1577	0.4186
TR10096-c3_g6_i1	macro	0.0166	0.0728	0.2276
TR10133-c0_g2_i1	macro	0.0000	0.0188	0.0010
TR10151-c0_g2_i1	macro	0.0000	0.0137	0.0010
TR10168-c0_g1_i1	macro	0.0040	0.0000	99.0000
TR10194-c0_g1_i1	macro	0.0054	0.0189	0.2859
TR10194-c0_g4_i2	macro	0.0000	0.0107	0.0010
TR10214-c0_g1_i1	macro	0.0000	0.0491	0.0010
TR10219-c2_g3_i2	macro	0.0041	0.0000	99.0000
TR10252-c0_g1_i1	macro	0.0000	0.0000	0.0010
TR10276-c0_g1_i1	macro	0.0205	0.1087	0.1889
TR10282-c1_g1_i2	macro	0.0000	0.0176	0.0010
TR1030-c1_g1_i2	macro	0.0000	0.0000	0.0010
TR10314-c1_g2_i1	macro	0.0012	0.0528	0.0221
TR10338-c0_g1_i1	macro	0.0000	0.0123	0.0010
TR10360-c1_g8_i4	macro	0.0185	0.0410	0.4503
TR10363-c0_g8_i1	macro	0.0000	0.0000	0.0010
TR10364-c0_g1_i2	macro	0.0046	0.0383	0.1211
TR10374-c2_g1_i1	macro	0.1024	1.9277	0.0531
TR10374-c3_g3_i3	macro	0.0000	0.0000	0.3369
TR10378-c0_g1_i1	macro	0.0106	0.0194	0.5435
TR10389-c0_g1_i1	macro	0.0000	0.0073	0.0010
TR10396-c1_g8_i1	macro	0.0000	0.0316	0.0010
TR10429-c0_g1_i1	macro	0.0075	0.0353	0.2132
TR10444-c1_g5_i1	macro	0.0000	0.0100	0.0010
TR10446-c0_g1_i1	macro	0.0118	0.0232	0.5068
TR10450-c0_g5_i1	macro	0.0000	0.0000	0.0010
TR10469-c0_g1_i1	macro	0.0000	0.0000	91.0532
TR1049-c0_g1_i1	macro	0.0000	0.0293	0.0010
TR1049-c0_g4_i1	macro	0.0000	0.0000	18.9322
TR10501-c0_g1_i1	macro	0.0885	0.0754	1.1741
TR10506-c2_g8_i1	macro	0.0075	0.0234	0.3211
TR10507-c0_g1_i1	macro	0.0000	0.0000	0.3583
TR10552-c1_g1_i1	macro	0.0000	0.0261	0.0010
TR10567-c0_g8_i1	macro	0.0111	0.0001	99.0000
TR10574-c0_g4_i1	macro	0.0000	0.0217	0.0010
