contig	species	dN	dS	dNdS
TR13772-c1_g1_i4	carb	0.0000	0.0133	0.0010
TR28183-c0_g2_i1	carb	0.0000	0.0000	0.3569
TR16965-c0_g3_i1	carb	0.0000	0.0315	0.0010
TR7231-c0_g1_i1	carb	0.0000	0.0287	0.0010
TR37803-c0_g4_i1	carb	0.0000	0.0000	0.1119
TR772-c0_g2_i1	carb	0.0000	0.0111	0.0010
TR16949-c1_g1_i1	carb	0.0000	0.0398	0.0010
TR47452-c3_g2_i2	carb	0.0514	0.1115	0.4608
TR35721-c3_g1_i2	carb	0.0660	0.1577	0.4186
TR35721-c3_g1_i1	carb	0.0166	0.0728	0.2276
TR43492-c0_g2_i1	carb	0.0000	0.0188	0.0010
TR16481-c0_g3_i1	carb	0.0000	0.0137	0.0010
TR3834-c0_g1_i1	carb	0.0040	0.0000	99.0000
TR35015-c0_g3_i1	carb	0.0054	0.0189	0.2859
TR35015-c0_g4_i1	carb	0.0000	0.0107	0.0010
TR45804-c0_g1_i1	carb	0.0000	0.0491	0.0010
TR9027-c1_g1_i1	carb	0.0041	0.0000	99.0000
TR27598-c2_g1_i1	carb	0.0000	0.0000	0.0010
TR40560-c0_g1_i1	carb	0.0205	0.1087	0.1889
TR27862-c0_g2_i3	carb	0.0000	0.0176	0.0010
TR37765-c0_g8_i1	carb	0.0000	0.0000	0.0010
TR4753-c2_g2_i2	carb	0.0012	0.0528	0.0221
TR32797-c0_g1_i1	carb	0.0000	0.0123	0.0010
TR35972-c2_g5_i2	carb	0.0185	0.0410	0.4503
TR43048-c0_g6_i2	carb	0.0000	0.0000	0.0010
TR21046-c0_g2_i1	carb	0.0046	0.0383	0.1211
TR2358-c1_g4_i1	carb	0.1024	1.9277	0.0531
TR16843-c2_g1_i2	carb	0.0000	0.0000	0.3369
TR16008-c0_g1_i1	carb	0.0106	0.0194	0.5435
TR37098-c0_g1_i1	carb	0.0000	0.0073	0.0010
TR9206-c0_g1_i1	carb	0.0000	0.0316	0.0010
TR3971-c2_g1_i1	carb	0.0075	0.0353	0.2132
TR34637-c0_g1_i1	carb	0.0000	0.0100	0.0010
TR14888-c1_g1_i1	carb	0.0118	0.0232	0.5068
TR20438-c0_g2_i1	carb	0.0000	0.0000	0.0010
TR39483-c0_g2_i1	carb	0.0000	0.0000	91.0532
TR36672-c5_g1_i1	carb	0.0000	0.0293	0.0010
TR36672-c5_g3_i1	carb	0.0000	0.0000	18.9322
TR45333-c0_g2_i1	carb	0.0885	0.0754	1.1741
TR5595-c9_g1_i1	carb	0.0075	0.0234	0.3211
TR27288-c0_g2_i1	carb	0.0000	0.0000	0.3583
TR38125-c1_g2_i1	carb	0.0000	0.0261	0.0010
TR21924-c1_g12_i1	carb	0.0111	0.0001	99.0000
TR30751-c0_g1_i1	carb	0.0000	0.0217	0.0010
TR36415-c0_g2_i1	carb	0.0000	0.0000	0.0010
TR44485-c0_g2_i2	carb	0.0039	0.0183	0.2131
TR152-c0_g1_i1	carb	0.0051	0.0161	0.3152
TR33751-c0_g1_i1	carb	0.0307	0.1040	0.2952
TR42761-c0_g1_i1	carb	0.0001	0.0645	0.0010
TR38257-c1_g1_i1	carb	0.0000	0.0456	0.0010
TR11188-c0_g1_i1	carb	0.0056	0.0086	0.6541
TR12272-c0_g1_i1	carb	0.0718	0.9634	0.0745
TR41217-c1_g1_i5	carb	0.0000	0.0201	0.0010
TR29531-c0_g1_i1	carb	0.0080	0.0453	0.1769
TR29602-c0_g4_i1	carb	0.0000	0.0402	0.0010
TR29602-c0_g7_i1	carb	0.0026	0.0732	0.0356
TR9200-c2_g1_i1	carb	0.0155	0.0374	0.4136
TR2586-c0_g4_i1	carb	0.1351	2.8065	0.0482
TR29427-c0_g1_i1	carb	0.0071	0.0147	0.4818
TR18802-c0_g1_i1	carb	0.0124	0.0340	0.3639
TR5199-c1_g1_i1	carb	0.0001	0.0606	0.0010
TR35640-c1_g7_i4	carb	0.0056	0.0352	0.1589
TR46416-c1_g2_i1	carb	0.0028	0.0290	0.0983
TR28796-c0_g1_i1	carb	0.0060	0.0174	0.3417
TR24947-c0_g2_i1	carb	0.0000	0.0319	0.0010
TR23513-c0_g1_i1	carb	0.0000	0.0000	14.9936
TR8490-c0_g2_i1	carb	0.0052	0.0001	99.0000
TR7601-c0_g1_i1	carb	0.0000	0.0331	0.0010
TR14341-c0_g1_i1	carb	0.0000	0.0000	0.0010
TR40470-c0_g1_i1	carb	0.0525	0.1910	0.2748
TR17080-c0_g1_i1	carb	0.0119	0.0501	0.2367
TR2248-c0_g1_i1	carb	0.0234	0.0586	0.3987
TR19878-c0_g1_i1	carb	0.0025	0.0141	0.1797
TR46805-c0_g2_i1	carb	0.0000	0.0000	1.9980
TR10342-c2_g1_i1	carb	0.0141	0.1081	0.1300
TR47620-c2_g1_i1	carb	0.0000	0.0000	2.8310
TR22318-c1_g1_i1	carb	0.0000	0.0051	0.0010
TR46882-c0_g1_i1	carb	0.0055	0.0179	0.3088
