la	lo	p.values	contig	contigs.null	adj.p
-234.263765	-234.263765	1	o1000	o1000	1
-592.787694	-592.787694	1	o1002	o1002	1
-382.565738	-382.565738	1	o1004	o1004	1
-671.486506	-671.486506	1	o1005	o1005	1
-856.677648	-857.477115	0.206054343904924	o1006	o1006	1
-329.91363	-329.91363	1	o1007	o1007	1
-240.838011	-240.838011	1	o1008	o1008	1
-330.755186	-330.755228	0.992687369584872	o1009	o1009	1
-492.683236	-492.683237	0.998871621210455	o100	o100	1
-586.281736	-589.700292	0.00892830677231145	o1010	o1010	0.249174729462371
-166.730369	-166.730386	0.995347599870029	o1011	o1011	1
-446.12269	-446.12269	1	o1012	o1012	1
-451.540476	-451.540476	1	o1013	o1013	1
-299.433399	-299.433399	1	o1014	o1014	1
-1252.673994	-1252.673993	1	o1015	o1015	1
-341.246397	-341.475196	0.498748695751199	o1016	o1016	1
-1978.621182	-1978.621182	1	o1017	o1017	1
-378.199731	-378.199731	1	o1018	o1018	1
-246.504338	-246.504338	1	o1019	o1019	1
-320.763099	-320.763099	1	o101	o101	1
-1256.586508	-1256.586508	1	o1021	o1021	1
-349.80306	-349.80306	1	o1022	o1022	1
-736.016867	-736.01684	1	o1023	o1023	1
-485.387251	-485.387251	1	o1024	o1024	1
-359.35087	-359.688667	0.411108055802199	o1025	o1025	1
-287.733339	-287.732452	1	o1026	o1026	1
-390.445733	-390.445733	1	o1027	o1027	1
-799.104584	-799.104584	1	o1028	o1028	1
-373.627196	-373.627196	1	o1029	o1029	1
-226.834204	-226.834204	1	o102	o102	1
-568.59205	-577.467449	2.51811846156723e-05	o1030	o1030	0.00158728294749824
-312.875381	-312.875381	1	o1031	o1031	1
-1091.534625	-1100.207441	3.1161365561546e-05	o1032	o1032	0.00193094834733919
-342.682204	-342.682204	1	o1033	o1033	1
-834.723626	-834.736505	0.872492742826662	o1034	o1034	1
-391.866011	-391.866011	1	o1035	o1035	1
-421.218479	-421.218479	1	o1036	o1036	1
-358.752761	-358.752761	1	o1037	o1037	1
-298.477087	-298.477087	1	o1038	o1038	1
-557.009226	-557.009226	1	o1039	o1039	1
-784.927631	-785.074207	0.588207698854614	o103	o103	1
-461.569216	-461.569216	1	o1040	o1040	1
-528.271049	-528.271049	1	o1041	o1041	1
-309.64382	-309.64382	1	o1042	o1042	1
-659.431731	-659.431731	1	o1043	o1043	1
-748.710048	-748.710048	1	o1044	o1044	1
-270.728819	-270.728818	1	o1045	o1045	1
-502.942998	-502.94299	1	o1046	o1046	1
-185.703935	-185.703935	1	o1047	o1047	1
-357.073366	-357.073366	1	o1048	o1048	1
-346.554648	-346.554648	1	o1049	o1049	1
-1721.014217	-1721.014217	1	o104	o104	1
-580.140473	-580.140473	1	o1050	o1050	1
-336.241838	-336.241838	1	o1051	o1051	1
-311.279499	-311.279499	1	o1052	o1052	1
-412.633807	-412.633807	1	o1053	o1053	1
-676.155786	-676.155786	1	o1054	o1054	1
-373.660993	-373.664178	0.936386557649159	o1055	o1055	1
-398.784227	-398.784227	1	o1056	o1056	1
-1222.498897	-1222.498897	1	o1057	o1057	1
-567.460542	-568.048284	0.278277284670717	o1058	o1058	1
-255.568291	-255.56825	1	o105	o105	1
-464.79566	-472.790699	6.36753259976263e-05	o1061	o1061	0.00342348517422532
-378.429528	-378.429582	0.991708289665482	o1062	o1062	1
-269.478692	-269.478529	1	o1063	o1063	1
-263.507033	-263.507033	1	o1064	o1064	1
-140.054278	-140.054278	1	o1065	o1065	1
-675.369017	-677.02506	0.0687721430410031	o1066	o1066	1
