contig	numParameters	likelihood
o1000	8	-234.263765
o1001	7	-391.239367
o1002	8	-592.787694
o1003	7	-327.216786
o1004	7	-382.565738
o1005	8	-671.486506
o1007	8	-329.913630
o1008	8	-236.519296
o1009	8	-330.755219
o100	8	-492.686299
o1010	8	-589.184400
o1011	8	-166.730374
o1012	8	-446.122690
o1013	8	-451.540476
o1014	8	-299.433399
o1015	8	-1253.297895
o1016	8	-341.889006
o1017	8	-1978.845457
o1018	8	-376.818631
o1019	8	-246.504338
o101	8	-320.763099
o1020	7	-462.908943
o1021	8	-1256.586508
o1022	8	-349.803060
o1023	8	-736.016840
o1025	8	-360.735733
o1027	8	-390.445733
o1028	8	-799.107770
o1029	8	-372.143533
o102	8	-226.834204
o1030	8	-576.588531
o1031	8	-312.875381
o1033	8	-342.682204
o1035	8	-391.866011
o1036	8	-421.218479
o1037	8	-358.752761
o1038	8	-298.477087
o1039	8	-557.009226
o103	8	-784.113517
o1040	8	-459.651928
o1041	8	-528.271049
o1042	8	-309.643820
o1043	8	-660.026878
o1044	8	-748.710048
o1045	8	-270.728819
o1046	8	-502.942997
o1047	8	-185.703935
o1048	8	-357.073366
o1049	8	-346.554648
o104	7	-1721.014216
o1050	8	-579.936888
o1051	8	-334.020778
o1052	8	-309.349807
o1053	8	-412.633807
o1054	8	-676.267770
o1055	8	-373.660993
o1056	8	-398.784227
o1057	8	-1221.891541
o1058	8	-569.368122
o1059	7	-1984.792213
o105	8	-255.568224
o1060	7	-481.210860
o1061	8	-473.203635
o1062	7	-378.429464
o1063	8	-269.478529
o1064	8	-263.507021
o1065	8	-140.054278
o1066	8	-677.688656
o1067	7	-293.110528
o1068	8	-276.010476
o1069	8	-1591.838559
o106	8	-470.214019
o1070	8	-521.166129
o1071	8	-221.186921
o1072	7	-341.846690
o1073	7	-1193.172134
o1074	8	-186.503171
o1075	8	-634.000035
o1076	8	-248.516904
o1077	8	-164.912435
o1078	8	-760.716798
o1079	8	-526.866854
o107	8	-1768.155799
o1080	8	-503.367207
o1081	8	-623.391323
o1082	7	-351.035322
o1083	8	-1579.906065
o1084	8	-474.742924
o1085	8	-566.298559
o1086	7	-314.295267
o1087	8	-175.657465
o1088	8	-474.079971
o1089	8	-271.149795
o108	7	-288.798109
o1090	8	-381.489673
o1091	8	-784.142326
o1092	8	-383.122698
o1093	8	-654.742830
o1094	8	-497.115665
o1095	8	-927.536288
o1096	8	-608.060995
o1098	7	-287.421696
o1099	8	-1825.496144
o109	8	-278.278406
o10	8	-798.385311
o1100	7	-518.637574
o1101	8	-196.601063
o1102	8	-288.610625
o1103	8	-431.110552
o1104	7	-382.914132
o1105	7	-255.761649
o1106	8	-446.213600
o1107	8	-312.860631
o1108	7	-326.632036
o1109	8	-589.867189
o110	8	-325.259891
o1110	8	-644.203411
o1111	8	-529.353723
o1112	8	-335.626006
o1113	8	-960.161348
o1114	8	-1067.717970
o1115	8	-298.583102
o1116	8	-308.735944
o1117	8	-216.932887
o1118	8	-366.320859
o1119	8	-440.514699
o111	8	-551.902766
o1120	8	-384.648406
o1121	8	-521.430239
o1122	8	-343.599725
o1123	8	-22.721952
o1124	7	-227.888264
o1125	8	-31.048591
o1126	7	-447.314416
o1128	7	-365.509821
o1129	8	-334.248149
o112	7	-324.946186
o1130	7	-961.038551
o1132	8	-304.338126
o1133	7	-383.012020
o1134	8	-443.760221
o1135	8	-334.032818
o1136	8	-710.501049
o1137	8	-599.094231
o1138	8	-318.262246
o1139	8	-501.607270
o113	8	-289.242777
o1140	8	-295.046375
o1141	8	-675.736505
o1142	8	-608.890110
o1143	8	-354.453323
o1144	8	-261.960312
o1145	8	-434.432029
o1146	7	-204.846244
o1147	8	-185.354810
o1148	7	-389.116571
o1149	8	-492.859155
o114	8	-237.572158
o1150	8	-134.653253
o1151	7	-751.648398
o1152	7	-1200.639728
o1153	8	-805.317404
o1154	8	-318.635243
o1155	7	-684.688106
o1156	7	-454.968514
o1157	8	-724.844942
o1158	7	-561.687145
o1159	8	-208.706548
o115	7	-500.821244
o1160	8	-1052.385705
o1162	8	-611.522775
o1163	8	-359.872732
o1164	8	-498.612277
o1165	7	-532.152695
o1166	8	-399.657756
o1167	8	-396.430244
o1168	8	-209.333145
o1169	8	-601.302819
o116	8	-322.465077
o1170	8	-384.786849
o1171	8	-585.255719
o1172	8	-389.507332
o1173	8	-383.768980
o1174	8	-222.470830
o1175	8	-579.159360
o1176	8	-238.585623
o1177	8	-570.886662
o1178	8	-212.726518
o117	8	-98.458464
o1180	8	-382.199841
o1181	7	-194.741671
o1182	8	-331.470202
o1184	8	-852.213327
o1185	7	-967.315438
o1186	8	-261.823179
o1187	8	-997.121230
o1188	8	-576.528421
o118	7	-314.204730
o1190	8	-668.050391
o1191	8	-530.829510
o1192	8	-1491.760340
o1193	8	-577.491469
o1194	7	-410.757027
o1195	8	-798.289964
o1196	8	-574.034051
o1197	8	-337.995158
o1198	8	-343.217665
o1199	8	-404.625853
o119	8	-201.932811
o11	8	-683.238558
o1200	8	-537.946819
o1201	7	-480.053483
o1202	8	-666.428376
o1203	8	-257.509585
o1204	8	-606.098451
o1205	8	-221.785662
o1206	8	-257.423381
o1207	7	-482.461533
o1208	8	-380.585608
o1209	8	-274.221647
o120	7	-525.351800
o1210	8	-1244.220764
o1211	8	-1297.360347
o1212	8	-231.992148
o1213	8	-333.327352
o1215	8	-289.721176
o1216	8	-1085.114196
o1217	8	-947.647357
o1219	8	-380.767994
o121	8	-399.483229
o1220	7	-595.880110
o1221	8	-487.063667
o1222	8	-908.339327
o1223	8	-737.329525
o1224	8	-337.676027
o1225	7	-858.426063
o1226	7	-587.408351
o1227	8	-161.503568
o1228	8	-228.688077
o1229	7	-347.434607
o122	7	-433.619968
o1230	8	-374.120292
o1231	7	-935.679223
o1232	8	-223.332697
o1233	8	-305.278505
o1234	8	-322.971702
o1235	8	-444.880798
o1237	8	-674.883646
o1238	8	-731.194185
o1239	7	-445.961595
o123	8	-545.806492
o1240	7	-517.069458
o1241	8	-326.509517
o1242	8	-450.728119
o1243	8	-388.259998
o1244	7	-293.221955
o1245	8	-458.811742
o1246	8	-258.620821
o1247	8	-172.778838
o1248	7	-374.644134
o1249	8	-529.013974
o124	8	-432.496347
o1250	7	-543.959191
o1251	7	-402.060302
o1252	7	-1167.789836
o1253	8	-368.529294
o1254	8	-1034.800573
o1255	8	-2015.414056
o1256	8	-306.202907
o1258	8	-490.830981
o1259	8	-156.000303
o125	8	-630.139240
o1260	8	-271.767829
o1261	7	-444.960063
o1262	8	-317.494690
o1263	8	-410.380723
o1264	8	-1069.313833
o1265	8	-189.770888
o1266	8	-801.326405
o1267	8	-249.565659
o1268	8	-407.386388
o1269	8	-262.141934
o126	7	-565.658901
o1270	8	-542.299800
o1271	7	-352.100941
o1272	8	-404.120675
o1273	8	-2135.063425
o1274	8	-453.518733
o1275	8	-395.725891
o1276	7	-179.623181
o1277	8	-507.879407
o1278	8	-299.356399
o1279	8	-156.012841
o127	8	-383.099741
o1280	8	-264.960429
o1281	8	-420.932145
o1282	8	-438.920559
o1283	8	-455.673383
o1284	8	-300.350891
o1285	8	-146.020443
o1286	7	-634.632115
o1287	8	-708.255089
o1288	8	-277.236891
o1289	8	-222.025031
o128	8	-1039.763104
o1290	8	-630.639291
o1291	8	-1164.381553
o1292	7	-868.339726
o1293	8	-226.178872
o1294	8	-284.600120
o1295	8	-726.612131
o1296	8	-620.818334
o1297	7	-474.363617
o1298	8	-662.411153
o1299	8	-642.964250
o129	8	-1369.792891
o12	8	-704.595892
o1300	8	-304.014734
o1301	8	-469.782596
o1302	8	-278.627772
o1303	8	-540.886670
o1304	8	-571.014228
o1305	8	-328.648879
o1306	8	-260.579912
o1307	8	-299.580275
o1308	8	-515.193056
o1309	8	-221.536941
o130	7	-450.460190
o1310	7	-464.465223
o1311	8	-692.256038
o1312	8	-244.907473
o1314	8	-348.646751
o1315	8	-236.882203
o1316	8	-550.610047
o1317	8	-729.044046
o1318	8	-472.740492
o1319	8	-216.604040
o131	8	-598.589882
o1320	8	-545.183583
o1321	8	-210.514006
o1322	8	-286.046173
o1323	8	-2219.831627
o1324	8	-66.386916
o1325	8	-150.260358
o1326	8	-539.785454
o1327	8	-464.288817
o1328	7	-503.585947
o132	8	-774.481757
o1330	7	-465.632785
o1331	8	-517.626483
o1332	7	-244.216113
o1333	8	-182.249579
o1334	8	-332.919965
o1335	7	-420.980247
o1336	8	-596.822087
o1337	8	-754.023815
o1338	8	-242.670784
o1339	8	-560.712329
o133	7	-186.637293
o1340	8	-404.720408
o1341	8	-217.533553
o1342	8	-404.976178
o1343	7	-377.836307
o1344	8	-493.640555
o1345	8	-734.555273
o1346	8	-611.608151
o1347	7	-284.183690
o1348	7	-575.833864
o1349	8	-341.846004
o134	8	-421.489860
o1350	8	-313.885512
o1351	8	-256.380115
o1352	8	-268.350141
o1353	8	-400.975755
o1354	8	-577.838768
o1355	8	-370.743800
o1356	8	-471.270208
o1357	8	-642.497922
o1358	8	-761.541311
o1359	8	-527.743506
o135	8	-267.284242
