contig	species	dN	dS	dNdS
TR51211-c0_g3_i1	carb	0.0059	0.0135	0.4361
TR28392-c0_g1_i1	carb	0.0000	0.0000	0.4019
TR3582-c0_g2_i1	carb	0.0058	0.0238	0.2445
TR25225-c1_g1_i1	carb	0.0000	0.0216	0.0010
TR40148-c0_g1_i1	carb	0.0064	0.0244	0.2607
TR3067-c0_g4_i1	carb	0.0000	0.0225	0.0010
TR42669-c0_g1_i1	carb	0.0000	0.0295	0.0010
TR48807-c0_g4_i1	carb	0.0323	0.1475	0.2192
TR48807-c0_g6_i5	carb	0.0583	0.1520	0.3835
TR48807-c0_g6_i4	carb	0.0188	0.0750	0.2512
TR42592-c1_g4_i1	carb	0.0171	0.0404	0.4239
TR37811-c0_g5_i2	carb	0.0000	0.0000	0.0010
TR22231-c0_g1_i1	carb	0.0000	0.0000	0.3863
TR34667-c0_g3_i1	carb	0.0001	0.0542	0.0010
TR34667-c0_g2_i2	carb	0.0000	0.0295	0.0010
TR3539-c0_g1_i1	carb	0.0000	0.0241	0.0010
TR419-c0_g5_i1	carb	0.0152	0.0221	0.6860
TR29823-c0_g1_i1	carb	0.0107	0.0281	0.3822
TR2681-c0_g1_i1	carb	0.0000	0.0203	0.0010
TR26243-c0_g2_i2	carb	0.0064	0.0001	99.0000
TR5881-c0_g5_i1	carb	0.0000	0.0220	0.0010
TR50705-c0_g1_i1	carb	0.0000	0.0422	0.0010
TR9567-c0_g1_i2	carb	0.0000	0.0247	0.0010
TR34247-c0_g2_i1	carb	0.0093	0.0512	0.1820
TR29652-c0_g2_i2	carb	0.0062	0.0202	0.3063
TR11922-c0_g1_i1	carb	0.0046	0.0290	0.1575
TR7181-c0_g1_i1	carb	0.1022	2.1850	0.0468
TR14641-c0_g1_i1	carb	0.0000	0.0000	0.4019
TR31445-c0_g1_i1	carb	0.0123	0.0001	99.0000
TR19898-c0_g3_i1	carb	0.0029	0.0213	0.1378
TR39875-c0_g2_i1	carb	0.0000	0.0000	0.4018
TR46998-c0_g1_i1	carb	0.0037	0.0501	0.0738
TR9476-c1_g1_i1	carb	0.0001	0.0523	0.0010
TR15456-c0_g4_i1	carb	0.0097	0.0261	0.3703
TR22100-c0_g1_i1	carb	0.0000	0.0372	0.0010
TR23739-c0_g1_i1	carb	0.0066	0.0215	0.3077
TR32387-c0_g4_i4	carb	0.0001	0.0521	0.0010
TR32387-c0_g3_i1	carb	0.0000	0.0000	0.4021
TR49125-c0_g1_i1	carb	0.0116	0.0539	0.2152
TR12228-c0_g3_i1	carb	0.0075	0.0234	0.3211
TR23037-c0_g5_i1	carb	0.0000	0.0000	0.4019
TR17258-c0_g2_i1	carb	0.0000	0.0328	0.0010
TR2063-c0_g3_i1	carb	0.0111	0.0001	99.0000
TR35527-c0_g3_i2	carb	0.0000	0.0000	0.3197
TR25705-c0_g10_i1	carb	0.0000	0.0000	0.0010
TR40967-c0_g1_i1	carb	0.0000	0.0000	0.4026
TR36820-c0_g4_i1	carb	0.0000	0.0319	0.0010
TR35785-c0_g4_i1	carb	0.0000	0.0472	0.0010
TR3338-c0_g1_i1	carb	0.0000	0.0256	0.0010
TR26783-c0_g1_i1	carb	0.0000	0.0190	0.0010
TR16223-c0_g1_i1	carb	0.0056	0.0044	1.2682
TR47072-c0_g1_i1	carb	0.0001	0.1184	0.0010
TR12024-c5_g3_i5	carb	0.0000	0.0351	0.0010
TR26756-c0_g1_i1	carb	0.0054	0.0435	0.1238
TR31613-c0_g3_i1	carb	0.0000	0.0000	0.4021
TR31613-c0_g6_i3	carb	0.0026	0.0728	0.0358
TR40153-c0_g1_i1	carb	0.0386	0.0852	0.4529
TR26715-c1_g2_i1	carb	0.1303	76.9679	0.0017
TR4042-c2_g1_i1	carb	0.0070	0.0001	99.0000
TR45040-c0_g1_i1	carb	0.0122	0.0534	0.2289
TR17722-c0_g5_i3	carb	0.0000	0.0469	0.0010
TR45639-c1_g1_i1	carb	0.0000	0.0189	0.0010
TR30722-c0_g2_i2	carb	0.0000	0.0192	0.0010
TR26483-c2_g1_i1	carb	0.0041	0.0000	99.0000
TR47556-c0_g3_i1	carb	0.0000	0.0319	0.0010
TR3983-c0_g1_i1	carb	0.0074	0.0139	0.5318
TR11887-c1_g2_i1	carb	0.0000	0.0000	0.0010
TR50303-c0_g1_i1	carb	0.0062	0.1001	0.0620
TR13953-c0_g2_i1	carb	0.0001	0.0774	0.0010
TR11648-c0_g3_i1	carb	0.0000	0.0284	0.0010
TR697-c2_g1_i3	carb	0.0089	0.0191	0.4675
TR11496-c0_g2_i1	carb	0.0000	0.0379	0.0010
TR36438-c0_g3_i1	carb	0.0000	0.0071	0.0010
TR35209-c0_g2_i1	carb	0.0049	0.0000	99.0000
TR45477-c0_g5_i1	carb	0.0000	0.0409	0.0010
TR37607-c1_g1_i1	carb	0.0000	0.0000	99.0000
TR9844-c0_g1_i1	carb	0.0000	0.0051	0.0010
TR13707-c0_g9_i1	carb	0.0052	0.0226	0.2302
TR20559-c0_g4_i1	carb	0.0002	0.1510	0.0010
TR22760-c0_g1_i1	carb	0.0811	73.5641	0.0011
TR7097-c0_g1_i1	carb	0.0084	0.0259	0.3263
TR15793-c0_g1_i3	carb	0.0092	0.0214	0.4281
TR39177-c0_g5_i1	carb	0.0001	0.0693	0.0010
TR39177-c0_g3_i2	carb	0.0000	0.0000	0.4019
TR21390-c0_g4_i1	carb	0.0077	0.0281	0.2728
TR29517-c0_g1_i1	carb	0.0298	0.2092	0.1424
TR14453-c0_g1_i1	carb	0.0000	0.0276	0.0010
TR46379-c2_g1_i1	carb	0.0000	0.0340	0.0010
TR32896-c0_g1_i1	carb	0.0012	0.0293	0.0414
TR19772-c1_g1_i1	carb	0.0000	0.0000	99.0000
TR12111-c0_g2_i1	carb	0.0000	0.0174	0.0010
TR18953-c1_g2_i1	carb	0.0039	0.0207	0.1861
TR12115-c0_g1_i1	carb	0.0000	0.0335	0.0010
TR8302-c0_g1_i2	carb	0.0000	0.0137	0.0010
TR37350-c1_g1_i4	carb	0.0048	0.0188	0.2540
TR9030-c0_g1_i3	carb	0.0001	0.0689	0.0010
TR12859-c0_g1_i1	carb	0.0099	0.0444	0.2233
TR28953-c0_g1_i1	carb	0.0489	0.1983	0.2465
TR41385-c1_g1_i2	carb	0.0048	0.0325	0.1467
TR38366-c0_g1_i1	carb	0.0000	0.0000	0.4012
TR12632-c0_g1_i2	carb	0.0226	0.0306	0.7400
TR39703-c0_g6_i2	carb	0.0000	0.0098	0.0010
TR44339-c1_g2_i1	carb	0.0446	0.0938	0.4758
TR27498-c0_g1_i2	carb	0.0000	0.0000	0.4020
TR29354-c0_g10_i1	carb	0.0000	0.0000	99.0000
TR18492-c0_g1_i2	carb	0.0000	0.0000	99.0000
TR44394-c0_g1_i1	carb	0.0160	0.0697	0.2301
TR45914-c0_g2_i1	carb	0.0165	0.0566	0.2923
TR19973-c0_g4_i1	carb	0.0000	0.0368	0.0010
TR484-c1_g1_i1	carb	0.0000	0.0313	0.0010
TR17602-c0_g1_i1	carb	0.0000	0.0000	0.8609
TR28369-c0_g2_i1	carb	0.0001	0.1057	0.0010
TR28369-c0_g4_i1	carb	0.0051	0.0200	0.2529
TR39552-c0_g2_i6	carb	0.0000	0.0167	0.0010
TR10366-c0_g2_i1	carb	0.0316	0.0273	1.1571
TR8434-c273_g2_i1	carb	0.0286	0.1921	0.1486
TR44407-c0_g3_i1	carb	0.0000	0.0102	0.0010
TR44407-c0_g4_i1	carb	0.0000	0.0123	0.0010
TR44407-c0_g1_i3	carb	0.0000	0.0496	0.0010
TR21418-c1_g1_i1	carb	0.0000	0.0220	0.0010
