la	lo	p.values	contig	contigs.null	adj.p
-234.263765	-234.263765	1	o1000	o1000	1
-391.239367	-391.239367	1	o1001	o1001	1
-592.787694	-592.787694	1	o1002	o1002	1
-327.216786	-327.216786	1	o1003	o1003	1
-382.565738	-382.565738	1	o1004	o1004	1
-671.486506	-671.486506	1	o1005	o1005	1
-329.91363	-329.91363	1	o1007	o1007	1
-236.519296	-240.324624	0.00580243708841181	o1008	o1008	0.199532431347823
-330.755219	-330.755228	0.996614872658372	o1009	o1009	1
-492.686299	-492.685202	1	o100	o100	1
-589.1844	-589.1844	1	o1010	o1010	1
-166.730374	-166.730386	0.996091195540306	o1011	o1011	1
-446.12269	-446.12269	1	o1012	o1012	1
-451.540476	-451.540476	1	o1013	o1013	1
-299.433399	-299.433399	1	o1014	o1014	1
-1253.297895	-1253.297895	1	o1015	o1015	1
-341.889006	-341.889006	1	o1016	o1016	1
-1978.845457	-1978.845457	1	o1017	o1017	1
-376.818631	-376.978903	0.571280904168914	o1018	o1018	1
-246.504338	-246.504338	1	o1019	o1019	1
-320.763099	-320.763099	1	o101	o101	1
-462.908943	-462.908943	1	o1020	o1020	1
-1256.586508	-1256.586508	1	o1021	o1021	1
-349.80306	-349.80306	1	o1022	o1022	1
-736.01684	-736.01684	1	o1023	o1023	1
-360.735733	-360.735733	1	o1025	o1025	1
-390.445733	-390.445733	1	o1027	o1027	1
-799.10777	-799.104584	1	o1028	o1028	1
-372.143533	-372.143533	1	o1029	o1029	1
-226.834204	-226.834204	1	o102	o102	1
-576.588531	-576.867959	0.454721545087392	o1030	o1030	1
-312.875381	-312.875381	1	o1031	o1031	1
-342.682204	-342.682204	1	o1033	o1033	1
-391.866011	-391.866011	1	o1035	o1035	1
-421.218479	-421.218479	1	o1036	o1036	1
-358.752761	-358.752761	1	o1037	o1037	1
-298.477087	-298.477087	1	o1038	o1038	1
-557.009226	-557.009226	1	o1039	o1039	1
-784.113517	-784.34513	0.496120144582774	o103	o103	1
-459.651928	-460.519039	0.187872606001176	o1040	o1040	1
-528.271049	-528.271049	1	o1041	o1041	1
-309.64382	-309.64382	1	o1042	o1042	1
-660.026878	-660.026878	1	o1043	o1043	1
-748.710048	-748.710048	1	o1044	o1044	1
-270.728819	-270.728817	1	o1045	o1045	1
-502.942997	-502.94299	1	o1046	o1046	1
-185.703935	-185.703935	1	o1047	o1047	1
-357.073366	-357.073366	1	o1048	o1048	1
-346.554648	-346.554648	1	o1049	o1049	1
-1721.014216	-1721.01422	0.997743244677665	o104	o104	1
-579.936888	-580.140473	0.523409407740866	o1050	o1050	1
-334.020778	-334.302412	0.452946504378111	o1051	o1051	1
-309.349807	-309.69924	0.403164997203159	o1052	o1052	1
-412.633807	-412.633807	1	o1053	o1053	1
-676.26777	-676.26777	1	o1054	o1054	1
-373.660993	-373.660993	1	o1055	o1055	1
-398.784227	-398.784227	1	o1056	o1056	1
-1221.891541	-1221.891541	1	o1057	o1057	1
-569.368122	-569.368122	1	o1058	o1058	1
-1984.792213	-1984.792216	0.998045591872232	o1059	o1059	1
-255.568224	-255.568291	0.990764024727372	o105	o105	1
-481.21086	-481.210861	0.998871621210455	o1060	o1060	1
-473.203635	-473.203635	1	o1061	o1061	1
-378.429464	-378.429464	1	o1062	o1062	1
-269.478529	-269.478529	1	o1063	o1063	1
-263.507021	-263.507033	0.996091195544935	o1064	o1064	1
-140.054278	-140.054278	1	o1065	o1065	1
-677.688656	-677.688656	1	o1066	o1066	1
-293.110528	-293.110528	1	o1067	o1067	1
-276.010476	-276.389426	0.383986512288283	o1068	o1068	1
-1591.838559	-1591.842744	0.927105075975202	o1069	o1069	1
-470.214019	-470.214019	1	o106	o106	1
-521.166129	-521.166129	1	o1070	o1070	1
-221.186921	-221.186921	1	o1071	o1071	1
-341.84669	-341.643224	1	o1072	o1072	1
-1193.172134	-1193.377373	0.521726991113752	o1073	o1073	1
-186.503171	-186.503171	1	o1074	o1074	1
-634.000035	-634.000035	1	o1075	o1075	1
-248.516904	-248.516201	1	o1076	o1076	1
-164.912435	-164.912435	1	o1077	o1077	1
-760.716798	-760.719499	0.941409597378315	o1078	o1078	1
-526.866854	-526.866854	1	o1079	o1079	1
-1768.155799	-1768.155799	1	o107	o107	1
-503.367207	-503.367206	1	o1080	o1080	1
-623.391323	-623.395138	0.930393413985073	o1081	o1081	1
-351.035322	-351.035322	1	o1082	o1082	1
-1579.906065	-1579.906065	1	o1083	o1083	1
-474.742924	-478.780019	0.00449001732006036	o1084	o1084	0.162186139645171
-566.298559	-566.298559	1	o1085	o1085	1
-314.295267	-314.295175	1	o1086	o1086	1
-175.657465	-175.657449	1	o1087	o1087	1
-474.079971	-474.079971	1	o1088	o1088	1
-271.149795	-271.149795	1	o1089	o1089	1
-288.798109	-288.798111	0.998404231944254	o108	o108	1
-381.489673	-381.489673	1	o1090	o1090	1
