la	lo	p.values	contig	contigs.null	adj.p
-234.263765	-234.263765	1	o1000	o1000	1
-391.239367	-391.239367	1	o1001	o1001	1
-592.787694	-592.787694	1	o1002	o1002	1
-327.216786	-327.216786	1	o1003	o1003	1
-382.565738	-382.565738	1	o1004	o1004	1
-671.486506	-671.486506	1	o1005	o1005	1
-856.677648	-857.477115	0.206054343904924	o1006	o1006	1
-329.91363	-329.91363	1	o1007	o1007	1
-238.30918	-240.838011	0.0245172915658429	o1008	o1008	0.411459650504585
-330.755212	-330.755227	0.995629828125738	o1009	o1009	1
-492.683236	-492.684455	0.960619568319357	o100	o100	1
-587.699251	-588.201036	0.316448211576049	o1010	o1010	1
-166.730364	-166.730374	0.996431763661253	o1011	o1011	1
-446.12269	-446.12269	1	o1012	o1012	1
-451.540476	-451.540476	1	o1013	o1013	1
-299.433399	-299.433399	1	o1014	o1014	1
-1253.117741	-1253.117741	1	o1015	o1015	1
-341.736981	-341.736981	1	o1016	o1016	1
-1978.845457	-1978.845457	1	o1017	o1017	1
-376.818647	-376.978917	0.571283305338169	o1018	o1018	1
-246.504338	-246.504338	1	o1019	o1019	1
-320.763099	-320.763099	1	o101	o101	1
-462.908943	-462.908943	1	o1020	o1020	1
-1256.586508	-1256.586508	1	o1021	o1021	1
-349.80306	-349.80306	1	o1022	o1022	1
-736.01684	-736.01684	1	o1023	o1023	1
-485.387251	-485.387251	1	o1024	o1024	1
-359.350904	-359.688693	0.411113595525766	o1025	o1025	1
-287.733339	-287.732452	1	o1026	o1026	1
-390.445733	-390.445733	1	o1027	o1027	1
-799.104584	-799.104584	1	o1028	o1028	1
-372.683716	-372.683716	1	o1029	o1029	1
-226.834204	-226.834204	1	o102	o102	1
-570.178521	-577.467449	0.000134485671840468	o1030	o1030	0.00471370434168847
-312.875381	-312.875381	1	o1031	o1031	1
-1091.534625	-1100.207441	3.1161365561546e-05	o1032	o1032	0.00146036130151455
-342.682204	-342.682204	1	o1033	o1033	1
-834.723626	-834.736505	0.872492742826662	o1034	o1034	1
-391.866011	-391.866011	1	o1035	o1035	1
-421.218479	-421.218479	1	o1036	o1036	1
-358.752761	-358.752761	1	o1037	o1037	1
-298.477087	-298.477087	1	o1038	o1038	1
-557.009226	-557.009226	1	o1039	o1039	1
-784.670124	-784.670124	1	o103	o103	1
-459.651904	-460.519026	0.187869805762101	o1040	o1040	1
-528.271049	-528.271049	1	o1041	o1041	1
-309.64382	-309.64382	1	o1042	o1042	1
-660.026878	-660.026878	1	o1043	o1043	1
-748.710048	-748.710048	1	o1044	o1044	1
-270.728819	-270.728819	1	o1045	o1045	1
-502.942999	-502.94299	1	o1046	o1046	1
-185.703935	-185.703935	1	o1047	o1047	1
-357.073366	-357.073366	1	o1048	o1048	1
-346.554648	-346.554648	1	o1049	o1049	1
-1721.014217	-1721.014217	1	o104	o104	1
-580.098944	-580.140473	0.77319529544389	o1050	o1050	1
-335.376541	-335.376541	1	o1051	o1051	1
-311.279499	-311.279499	1	o1052	o1052	1
-412.633807	-412.633807	1	o1053	o1053	1
-676.155793	-676.155793	1	o1054	o1054	1
-373.660993	-373.660993	1	o1055	o1055	1
-398.784227	-398.784227	1	o1056	o1056	1
-1222.043025	-1222.043025	1	o1057	o1057	1
-567.460521	-568.04827	0.278274422643062	o1058	o1058	1
-1984.792213	-1984.792216	0.998045591872232	o1059	o1059	1
-255.568248	-255.568224	1	o105	o105	1
-481.21086	-481.210861	0.998871621210455	o1060	o1060	1
-466.949584	-473.203635	0.00040519102654683	o1061	o1061	0.0125017015959949
-378.429464	-378.429583	0.987691324756896	o1062	o1062	1
-269.478525	-269.478529	0.997743244677665	o1063	o1063	1
-263.507032	-263.507033	0.998871621210455	o1064	o1064	1
-140.054278	-140.054278	1	o1065	o1065	1
-677.685954	-677.688656	0.941398771844225	o1066	o1066	1
-293.110528	-293.110528	1	o1067	o1067	1
-268.698211	-276.028269	0.000128741824357146	o1068	o1068	0.00461056658479028
-1591.835966	-1591.835965	1	o1069	o1069	1
-470.283291	-470.283291	1	o106	o106	1
-521.166129	-521.166129	1	o1070	o1070	1
-221.186921	-221.186921	1	o1071	o1071	1
-341.634469	-341.634469	1	o1072	o1072	1
-1193.172134	-1193.377373	0.521726991113752	o1073	o1073	1
-186.503171	-186.503171	1	o1074	o1074	1
-633.88194	-633.897934	0.85805399661548	o1075	o1075	1
-248.166485	-248.516201	0.40297461630789	o1076	o1076	1
-164.912435	-164.912435	1	o1077	o1077	1
-760.723425	-760.720526	1	o1078	o1078	1
-526.329996	-526.329996	1	o1079	o1079	1
-1767.902647	-1768.127106	0.502849227227667	o107	o107	1
-503.367206	-503.367206	1	o1080	o1080	1
-623.391323	-623.391323	1	o1081	o1081	1
-351.035322	-351.035322	1	o1082	o1082	1
-1579.194607	-1579.194608	0.998871621146314	o1083	o1083	1
-478.780015	-478.780015	1	o1084	o1084	1
