contig	species	dN	dS	dNdS	class
TR10096-c3_g14_i4	flav	0.0583	0.152	0.3835	3
TR10374-c2_g1_i1	flav	0.1022	2.185	0.0468	3
TR10753-c1_g1_i1	flav	0.1303	76.9679	0.0017	3
TR11123-c0_g5_i1	flav	2e-04	0.151	0.001	3
TR11138-c0_g2_i1	flav	0.0811	73.5641	0.0011	3
TR11222-c0_g3_i1	flav	0.0298	0.2092	0.1424	3
TR11456-c0_g2_i1	flav	0.0489	0.1983	0.2465	3
TR11717-c0_g1_i1	flav	0.0286	0.1921	0.1486	3
TR11900-c0_g2_i1	flav	0.0705	0.3154	0.2235	3
TR11984-c3_g3_i1	flav	0.1711	0.3546	0.4825	3
TR11986-c0_g1_i1	flav	0.0732	73.1646	0.001	3
TR12449-c0_g11_i3	flav	0.0839	0.1559	0.5384	3
TR1256-c0_g2_i2	flav	0.1336	0.235	0.5685	3
TR14204-c0_g2_i1	flav	0.125	54.1615	0.0023	3
TR14264-c0_g1_i1	flav	0.0568	5.28	0.0108	3
TR1459-c0_g1_i1	flav	0.0526	1.3651	0.0386	3
TR14604-c7_g5_i13	flav	0.1273	0.1498	0.8504	3
TR15216-c4_g5_i2	flav	0.0284	0.1815	0.1563	3
TR15306-c1_g1_i1	flav	0.0936	0.4909	0.1907	3
TR15474-c3_g3_i1	flav	0.007	0.1793	0.0388	3
TR15918-c0_g1_i1	flav	0.1861	3.6048	0.0516	3
TR15931-c2_g1_i1	flav	0.1048	0.1649	0.6355	3
TR16644-c0_g1_i2	flav	0.0201	4.8157	0.0042	3
TR17023-c2_g6_i1	flav	0.1038	0.271	0.3829	3
TR17218-c0_g1_i1	flav	0.0435	1.4174	0.0307	3
TR17462-c0_g1_i1	flav	0.0348	0.2446	0.1422	3
TR17760-c0_g1_i1	flav	0.1065	2.5939	0.041	3
TR18050-c0_g1_i2	flav	0.0333	0.1522	0.2188	3
TR18545-c0_g2_i2	flav	0.0638	0.1863	0.3425	3
TR19132-c0_g1_i1	flav	0.0372	2.8261	0.0132	3
TR19578-c1_g3_i1	flav	0.0036	1.743	0.0021	3
TR19616-c0_g1_i1	flav	0.0607	0.1727	0.3515	3
TR19656-c0_g2_i2	flav	0.0128	2.859	0.0045	3
TR20089-c3_g2_i2	flav	2e-04	0.1734	0.001	3
TR20107-c0_g8_i1	flav	0.0404	2.3319	0.0173	3
TR20344-c0_g1_i1	flav	0.0673	2.086	0.0322	3
TR21048-c0_g1_i1	flav	0.0965	4.4152	0.0219	3
TR21389-c0_g2_i1	flav	0.0756	0.2284	0.331	3
TR22153-c5_g10_i1	flav	0.0726	0.2929	0.2477	3
TR22298-c0_g2_i1	flav	0.1005	7.5369	0.0133	3
TR22368-c3_g11_i1	flav	0.0402	0.2241	0.1795	3
TR2243-c0_g5_i2	flav	0.04	0.1784	0.2244	3
TR22525-c2_g2_i1	flav	0.0228	22.7752	0.001	3
TR22567-c1_g1_i3	flav	0.1053	0.2399	0.439	3
TR22620-c5_g1_i1	flav	0.1674	0.3596	0.4654	3
TR22669-c0_g1_i1	flav	0.0177	17.6664	0.001	3
TR22693-c0_g1_i1	flav	0.0928	0.1784	0.5198	3
TR22955-c0_g3_i2	flav	2e-04	0.1503	0.001	3
TR23452-c1_g2_i1	flav	0.0097	0.6036	0.016	3
TR25048-c0_g1_i1	flav	2e-04	0.1936	0.001	3
TR25139-c0_g1_i3	flav	0.1058	1.5602	0.0678	3
TR25156-c0_g1_i1	flav	0.0478	0.2981	0.1605	3
TR25653-c1_g2_i2	flav	0.0824	0.2138	0.3853	3
TR25726-c3_g6_i1	flav	0.0694	2.5073	0.0277	3
TR25945-c0_g2_i1	flav	0.083	1.013	0.0819	3
TR26014-c1_g1_i1	flav	0.0924	2.19	0.0422	3
TR26320-c0_g1_i1	flav	0.0336	0.1505	0.2235	3
TR26584-c1_g2_i4	flav	0.1015	0.1876	0.541	3
TR26762-c1_g1_i1	flav	2e-04	0.2158	0.001	3
TR27016-c5_g9_i5	flav	0.1261	0.2549	0.4946	3
TR27101-c1_g11_i1	flav	0.0866	72.8502	0.0012	3
TR27612-c0_g2_i1	flav	0.0688	3.3959	0.0203	3
TR2784-c1_g1_i1	flav	0.1339	24.4928	0.0055	3
TR27878-c0_g1_i1	flav	2e-04	0.1881	0.001	3
TR2849-c4_g2_i1	flav	0.1202	20.6273	0.0058	3
TR29317-c0_g1_i1	flav	0.0776	1.0226	0.0759	3
TR29363-c1_g1_i1	flav	0.0125	7.6704	0.0016	3
TR29487-c1_g1_i2	flav	2e-04	0.2111	0.001	3
TR29554-c0_g7_i1	flav	0.0872	13.7501	0.0063	3
TR29862-c0_g5_i1	flav	0.1315	0.158	0.8322	3
TR30257-c0_g2_i1	flav	0.1798	1.8626	0.0965	3
TR30353-c0_g1_i1	flav	0.1089	0.1977	0.5509	3
TR31014-c0_g1_i1	flav	0.1376	2.1459	0.0641	3
TR31152-c0_g4_i1	flav	0.1934	3.2451	0.0596	3
TR31165-c1_g1_i1	flav	0.0589	0.1613	0.3654	3
TR31170-c0_g16_i2	flav	0.0346	2.2875	0.0151	3
TR31662-c0_g1_i1	flav	0.0865	4.9943	0.0173	3
TR32046-c13_g1_i1	flav	0.0364	0.1728	0.2105	3
TR33028-c0_g2_i1	flav	0.0666	0.2392	0.2782	3
TR33316-c0_g1_i1	flav	0.0132	0.9235	0.0143	3
TR33614-c0_g2_i1	flav	0.0598	0.199	0.3007	3
TR33663-c0_g1_i3	flav	2e-04	0.1715	0.001	3
