ortholog	carb	flav	macro
o1	TR53302-c0_g1_i1	TR37761-c0_g2_i1	TR22860-c1_g2_i1
o2	TR5226-c0_g1_i1	TR18820-c0_g1_i2	TR22853-c0_g1_i1
o3	TR47245-c0_g2_i1	TR34913-c1_g1_i1	TR22848-c0_g3_i1
o4	TR18621-c0_g1_i1	TR31393-c0_g2_i2	TR22814-c0_g2_i5
o5	TR22992-c0_g4_i1	TR49063-c0_g5_i3	TR22799-c0_g3_i1
o6	TR45739-c0_g1_i1	TR50559-c0_g1_i1	TR22793-c1_g1_i2
o7	TR28800-c0_g3_i1	TR2605-c0_g1_i1	TR22786-c1_g1_i1
o8	TR57805-c2_g1_i1	TR26864-c0_g1_i1	TR28289-c0_g1_i1
o9	TR26764-c1_g2_i4	TR26825-c3_g2_i1	TR28268-c2_g1_i1
o10	TR49200-c0_g1_i1	TR50564-c0_g2_i1	TR22862-c8_g1_i3
o11	TR23408-c2_g1_i2	TR14855-c1_g2_i2	TR22862-c3_g1_i1
o12	TR47289-c0_g1_i1	TR7525-c0_g2_i1	TR42177-c0_g1_i1
o13	TR16686-c0_g2_i1	TR21522-c0_g1_i1	TR28265-c0_g1_i1
o14	TR40504-c1_g2_i1	TR31789-c0_g3_i1	TR28215-c1_g1_i1
o15	TR49911-c0_g1_i1	TR32260-c0_g1_i2	TR42458-c0_g2_i2
o16	TR20338-c1_g3_i2	Matched_to_other_by_FastOrtho	TR28208-c0_g2_i1
o17	TR18660-c0_g6_i2	TR2750-c1_g3_i3	TR42996-c0_g3_i1
o18	TR21627-c2_g4_i1	TR17063-c0_g2_i1	TR28231-c0_g1_i1
o19	TR3058-c0_g1_i1	TR10205-c0_g1_i2	TR43011-c3_g1_i1
o20	TR23784-c0_g1_i1	TR42951-c0_g1_i1	TR28227-c0_g1_i1
o21	TR2087-c1_g1_i1	TR31348-c0_g1_i1	TR42339-c1_g1_i1
o22	TR44021-c0_g1_i1	TR36235-c0_g2_i1	TR9217-c0_g2_i2
o23	TR46703-c1_g2_i2	TR34657-c0_g2_i1	TR45050-c0_g4_i1
o24	TR35665-c1_g2_i1	TR47712-c0_g4_i1	TR41288-c1_g1_i1
o25	TR52536-c0_g1_i1	TR32212-c0_g2_i1	TR7590-c0_g1_i1
o26	TR42422-c0_g3_i1	TR1299-c0_g1_i1	TR9870-c1_g1_i2
o27	TR19548-c0_g1_i1	TR16288-c0_g2_i1	TR39989-c0_g5_i1
o28	TR8436-c1_g4_i2	TR19967-c0_g1_i1	TR28281-c0_g2_i1
o29	TR61252-c0_g1_i1	TR1437-c0_g1_i1	TR21426-c0_g1_i1
o30	TR688-c0_g1_i1	Matched_to_other_by_FastOrtho	TR21424-c0_g1_i2
o31	TR47165-c0_g1_i1	TR14608-c0_g1_i4	TR21417-c0_g1_i1
o32	TR35710-c0_g2_i2	TR27884-c0_g1_i1	TR21403-c0_g1_i1
o33	TR5325-c0_g1_i1	TR23812-c0_g1_i1	TR2146-c2_g2_i1
o34	TR24122-c0_g1_i1	TR45993-c0_g1_i1	TR21435-c0_g11_i1
o35	TR34154-c0_g6_i1	TR17756-c0_g3_i1	TR21428-c0_g1_i3
o36	TR30812-c0_g3_i1	TR28510-c0_g3_i1	TR42404-c0_g1_i1
o37	TR52488-c0_g1_i1	TR23725-c0_g1_i1	TR21467-c0_g1_i1
o38	TR50272-c3_g1_i1	TR47140-c16_g1_i1	TR21462-c1_g1_i1
o39	TR61277-c2_g2_i1	TR30-c0_g2_i1	TR44443-c0_g2_i3
o40	TR32785-c0_g2_i1	TR12618-c0_g1_i1	TR43831-c0_g1_i1
o41	TR23100-c0_g2_i4	TR36072-c1_g2_i1	TR43832-c3_g5_i8
o42	TR6347-c0_g6_i1	TR13892-c3_g8_i5	TR9841-c3_g1_i1
o43	TR60050-c8_g11_i1	TR9124-c1_g4_i1	TR4380-c0_g3_i2
o44	TR39164-c1_g5_i1	Matched_to_other_by_FastOrtho	TR45812-c1_g4_i1
o45	TR28707-c1_g1_i1	TR30328-c1_g3_i4	TR4383-c1_g1_i1
o46	TR48372-c1_g1_i1	TR28764-c0_g1_i1	Matched_to_other_by_FastOrtho
o47	TR18826-c1_g1_i1	TR13254-c0_g1_i1	TR44447-c1_g1_i1
o48	TR18660-c0_g3_i1	TR2750-c1_g3_i1	TR42996-c0_g1_i4
o49	TR46776-c1_g1_i1	TR1192-c0_g4_i1	TR29003-c1_g1_i1
o50	TR25443-c1_g2_i3	TR9745-c0_g1_i2	TR4604-c1_g2_i1
o51	TR13760-c3_g2_i1	TR7292-c1_g3_i1	TR45818-c0_g2_i1
o52	TR41093-c0_g1_i1	TR50371-c0_g1_i1	TR9974-c1_g1_i1
o53	Matched_to_other_by_FastOrtho	TR21936-c0_g1_i1	TR9986-c0_g4_i1
o54	TR48657-c1_g1_i1	TR24867-c0_g1_i1	TR44450-c0_g1_i1
o55	TR42190-c0_g2_i2	TR43871-c0_g3_i1	TR45016-c0_g1_i1
o56	TR26846-c0_g1_i1	TR11732-c1_g3_i2	TR29004-c0_g4_i1
o57	TR4743-c1_g1_i1	TR20699-c1_g1_i1	TR2388-c1_g1_i1
o58	TR19476-c1_g13_i1	TR4311-c0_g12_i1	TR23867-c0_g8_i1
o59	TR46940-c1_g5_i1	TR7810-c2_g2_i2	TR23835-c5_g11_i1
o60	TR61177-c0_g7_i2	TR12101-c0_g2_i1	TR23840-c1_g2_i1
o61	TR30051-c0_g1_i3	TR45023-c0_g1_i1	TR23837-c0_g1_i1
o62	TR20638-c0_g1_i1	TR45724-c0_g5_i1	TR2385-c0_g1_i1
o63	TR4677-c1_g2_i2	TR3074-c2_g1_i1	Matched_to_other_by_FastOrtho
o64	TR11807-c1_g1_i2	TR16669-c1_g2_i1	TR23863-c0_g1_i1
o65	TR52057-c0_g2_i1	TR10275-c0_g4_i1	TR23861-c0_g2_i1
o66	TR52819-c0_g2_i5	TR791-c0_g1_i1	TR44460-c0_g1_i2
o67	TR6309-c0_g3_i1	TR9461-c0_g1_i1	TR45034-c0_g3_i1
o68	TR39009-c0_g1_i1	TR20886-c0_g1_i1	TR29908-c0_g3_i1
o69	TR7216-c0_g1_i1	TR38920-c0_g1_i1	Matched_to_other_by_FastOrtho
o70	TR36680-c0_g1_i2	TR9247-c0_g9_i1	TR44411-c4_g5_i2
o71	TR21529-c0_g10_i2	TR33451-c0_g6_i1	TR45002-c0_g5_i2
o72	TR37352-c0_g6_i1	TR15833-c0_g4_i1	TR7380-c0_g9_i1
o73	TR61650-c4_g1_i1	TR47140-c6_g1_i1	TR32472-c2_g1_i3
o74	TR61627-c0_g1_i1	TR42145-c0_g3_i1	TR32469-c0_g2_i1
o75	TR14755-c0_g3_i3	TR1184-c0_g2_i1	TR32424-c0_g6_i3
o76	TR11367-c1_g2_i1	TR8302-c0_g1_i2	TR25576-c0_g1_i1
o77	TR45449-c0_g1_i1	TR29153-c0_g2_i1	TR32391-c0_g1_i1
o78	TR50325-c0_g3_i3	TR1196-c0_g2_i2	TR32390-c1_g1_i1
o79	TR50325-c0_g1_i1	TR1196-c0_g5_i1	TR32390-c0_g3_i1
o80	TR55645-c7_g3_i1	TR42256-c0_g1_i1	Matched_to_other_by_FastOrtho
o81	TR15465-c0_g1_i1	TR40035-c1_g2_i1	TR45008-c0_g1_i1
o82	TR38124-c0_g2_i1	TR26397-c0_g1_i1	TR46936-c3_g1_i1
o83	TR46620-c0_g2_i1	TR49898-c0_g2_i1	TR8350-c0_g2_i1
o84	TR53172-c1_g7_i1	TR12352-c0_g3_i2	TR37637-c0_g5_i1
o85	TR21767-c0_g1_i1	TR16189-c0_g1_i1	TR37633-c1_g2_i1
o86	TR57153-c0_g3_i2	TR38841-c0_g6_i1	TR37630-c0_g4_i1
o87	TR16134-c0_g2_i1	TR36894-c0_g2_i1	TR37623-c0_g2_i1
o88	TR9806-c0_g2_i1	TR12456-c0_g2_i1	TR37593-c1_g8_i1
o89	TR9806-c0_g9_i1	Matched_to_other_by_FastOrtho	TR37593-c1_g6_i1
o90	TR53800-c1_g1_i1	TR3547-c0_g6_i1	TR37585-c0_g3_i1
