carb	flav	macro
TR48932-c0_g5_i4	TR46170-c0_g3_i2	TR10000-c0_g1_i1
TR60986-c1_g2_i2	TR47451-c1_g1_i3	TR10003-c1_g2_i1
TR57511-c0_g1_i1	TR866-c0_g1_i1	TR10011-c0_g1_i1
TR35264-c0_g5_i1	TR23703-c1_g1_i1	TR1004-c0_g2_i1
TR60717-c0_g1_i1	TR9842-c0_g1_i1	TR10041-c0_g1_i1
TR35615-c2_g2_i1	TR50043-c1_g4_i3	TR10052-c1_g5_i1
TR3775-c0_g1_i2	TR40435-c0_g3_i1	TR10058-c0_g2_i1
TR3775-c1_g1_i1	TR43392-c0_g2_i1	TR10058-c2_g1_i1
TR7396-c1_g1_i1	TR25587-c0_g2_i1	TR10062-c0_g1_i1
TR40776-c0_g2_i1	TR12394-c1_g1_i2	TR10084-c0_g2_i1
TR52497-c0_g2_i2	TR7481-c0_g1_i1	TR10106-c0_g2_i1
TR27733-c0_g1_i1	TR15423-c0_g1_i1	TR10109-c1_g1_i1
TR25362-c1_g8_i1	TR23505-c0_g1_i1	TR1011-c0_g1_i1
TR40854-c0_g8_i3	TR16691-c0_g3_i2	TR10111-c0_g1_i1
TR34112-c1_g3_i1	TR176-c2_g2_i3	TR10138-c1_g2_i2
TR8203-c0_g1_i1	TR3093-c0_g1_i1	TR1016-c0_g1_i1
TR55057-c0_g1_i1	TR31823-c0_g1_i1	TR10162-c0_g1_i3
TR53687-c0_g1_i1	TR30241-c0_g2_i1	TR10184-c0_g1_i1
TR53687-c1_g1_i1	TR30241-c0_g1_i1	TR10184-c1_g1_i1
TR41693-c0_g4_i1	TR17470-c0_g2_i1	TR10191-c1_g1_i1
TR61571-c0_g1_i2	TR27584-c0_g1_i2	TR10201-c0_g2_i1
TR60390-c0_g1_i1	TR10445-c0_g1_i1	TR10205-c0_g3_i1
TR8231-c0_g2_i1	TR28329-c1_g1_i1	TR10212-c0_g2_i2
TR35339-c1_g1_i1	TR34751-c0_g2_i1	TR10215-c1_g1_i3
TR13745-c0_g4_i1	TR30941-c1_g9_i1	TR10215-c2_g15_i1
TR43044-c0_g2_i1	TR21038-c0_g1_i3	TR10261-c0_g2_i4
TR43044-c0_g3_i1	TR21038-c0_g4_i1	TR10261-c0_g4_i3
TR42746-c0_g5_i1	TR3663-c0_g1_i3	TR10263-c3_g1_i1
TR43500-c0_g1_i1	TR20013-c1_g1_i1	TR10266-c0_g1_i1
TR1548-c0_g1_i1	TR36094-c0_g1_i1	TR10269-c0_g1_i1
