contig	numParameters	likelihood
o1000	8	-234.263765
o1001	7	-391.239367
o1002	8	-592.787694
o1003	7	-327.216786
o1005	8	-671.336132
o1006	7	-857.721192
o1007	8	-329.913630
o1008	8	-240.838011
o1009	8	-330.755186
o100	8	-492.683236
o1010	8	-589.778433
o1011	8	-166.730380
o1012	8	-446.122690
o1013	8	-448.799282
o1014	8	-297.523352
o1015	8	-1253.297895
o1016	8	-338.935690
o1017	8	-1978.675281
o1018	8	-378.199731
o1019	8	-246.504338
o101	8	-320.763099
o1020	7	-462.908943
o1021	8	-1256.505302
o1022	8	-349.803060
o1023	8	-736.016840
o1024	7	-485.387251
o1025	8	-360.735733
o1026	7	-287.732452
o1027	8	-389.737972
o1028	8	-799.104584
o1029	8	-373.627196
o102	8	-226.834204
o1030	8	-576.519664
o1031	8	-312.875381
o1032	7	-1091.252290
o1033	8	-342.682204
o1034	7	-834.736505
o1035	8	-391.866011
o1036	8	-421.218479
o1037	8	-358.752761
o1038	8	-298.477087
o1039	8	-557.009226
o103	8	-784.927631
o1040	8	-461.571634
o1041	8	-527.750198
o1042	8	-309.643820
o1043	8	-660.027138
o1044	8	-747.223799
o1045	8	-270.728819
o1046	8	-485.152600
o1047	8	-185.703935
o1048	8	-357.073366
o1049	8	-346.554648
o1050	8	-578.978891
o1051	8	-336.241838
o1052	8	-311.279499
o1053	8	-412.633807
o1054	8	-676.267770
o1055	8	-373.660993
o1056	8	-398.784227
o1057	8	-1222.498897
o1058	8	-569.368122
o1059	7	-1984.792213
o105	8	-255.568290
o1060	7	-481.210862
o1061	8	-473.203635
o1063	8	-269.478529
o1064	8	-263.507033
o1065	8	-140.054278
o1066	8	-677.526036
o1067	7	-293.110531
o1068	8	-276.809025
o1069	8	-1591.835965
o106	8	-470.225656
o1070	8	-521.166129
o1071	8	-221.186921
o1073	7	-1193.174412
o1074	8	-186.503171
o1075	8	-634.009275
o1076	8	-248.167337
o1077	8	-164.912435
o1078	8	-760.718606
o1079	8	-526.866854
o107	8	-1768.155799
o1080	8	-503.367206
o1081	8	-623.391323
o1083	8	-1581.015072
o1084	8	-468.797758
o1085	8	-561.280231
o1086	7	-314.295175
o1087	8	-175.657452
o1088	8	-474.079971
o1089	8	-271.149883
o108	7	-288.798116
o1090	8	-381.489673
o1091	8	-784.120926
o1092	8	-383.122698
o1093	8	-654.742830
o1094	8	-496.435785
o1095	8	-928.124053
o1096	8	-605.206417
o1097	7	-291.454047
o1098	7	-287.421695
o1099	8	-1825.496149
o109	8	-278.278406
o10	8	-805.592199
o1100	7	-518.637582
o1101	8	-196.601063
o1102	8	-278.089319
o1103	8	-431.110552
o1104	7	-382.190519
o1106	8	-448.096500
o1107	8	-314.259416
o1108	7	-326.632267
o1109	8	-592.115421
o110	8	-325.259891
o1110	8	-656.971699
o1111	8	-528.830090
o1112	8	-335.626006
o1113	8	-960.161348
o1114	8	-1067.631835
o1115	8	-298.583102
o1116	8	-308.735944
o1117	8	-216.932887
o1118	8	-364.935417
o1119	8	-440.514707
o111	8	-565.085187
o1120	8	-369.920755
o1121	8	-521.430239
o1122	8	-343.599725
o1123	8	-22.721958
o1125	8	-31.048591
o1126	7	-447.314416
o1127	7	-405.462894
o1129	8	-334.248262
o112	7	-324.946186
o1130	7	-961.042936
o1131	7	-892.913186
o1132	8	-307.087289
o1133	7	-382.998160
o1134	8	-442.732352
o1135	8	-335.920394
o1136	8	-710.501049
o1137	8	-599.094231
o1138	8	-318.140375
o1139	8	-501.615856
o113	8	-289.244088
o1140	8	-295.570277
o1141	8	-675.736197
o1142	8	-608.890829
o1143	8	-355.294285
o1144	8	-261.960312
o1145	8	-434.432028
o1147	8	-185.354848
o1148	7	-389.115715
o1149	8	-492.859155
o114	8	-243.684745
o1150	8	-134.653253
o1153	8	-805.317404
o1154	8	-318.635243
o1155	7	-684.688045
o1156	7	-454.968514
o1157	8	-724.844942
o1158	7	-561.687145
o1159	8	-208.706548
o115	7	-500.821244
o1160	8	-1052.385705
o1161	7	-657.112739
o1162	8	-611.522775
o1163	8	-359.872732
o1164	8	-498.612277
o1166	8	-399.657756
o1167	8	-396.430244
o1168	8	-209.333145
o1169	8	-601.302819
o116	8	-322.465126
o1170	8	-385.367560
o1171	8	-585.606378
o1172	8	-390.457146
o1173	8	-383.431639
o1174	8	-222.470830
o1175	8	-579.159360
o1176	8	-239.652039
o1177	8	-570.886662
o1178	8	-212.726516
o1179	7	-249.136979
o117	8	-98.458464
o1180	8	-382.199841
o1181	7	-194.741671
o1182	8	-324.700720
o1183	7	-719.252252
o1184	8	-852.213327
o1186	8	-261.823179
o1187	8	-996.622192
o1188	8	-576.528421
o1189	7	-610.753399
o1190	8	-668.050391
o1191	8	-530.829510
o1192	8	-1491.760340
o1193	8	-575.590913
o1194	7	-410.760838
o1195	8	-797.871112
o1196	8	-574.034098
o1197	8	-337.995158
o1198	8	-343.217665
o1199	8	-404.625853
o119	8	-201.932820
o11	8	-683.238558
o1200	8	-537.946819
o1202	8	-666.143252
o1203	8	-257.509670
o1204	8	-606.098451
o1205	8	-221.785662
o1206	8	-253.620916
o1208	8	-380.585608
o1209	8	-263.173266
o1210	8	-1244.220760
o1211	8	-1299.425307
o1212	8	-231.992275
o1213	8	-333.327352
o1214	7	-516.964283
o1215	8	-289.721176
o1216	8	-1085.114196
o1217	8	-947.647357
o1218	7	-1029.008899
o1219	8	-380.767994
o121	8	-399.483229
o1220	7	-595.880110
o1221	8	-487.063667
o1222	8	-907.678942
o1223	8	-737.866847
o1224	8	-337.676028
o1227	8	-161.052580
o1228	8	-228.688077
o1229	7	-347.433404
o122	7	-433.619864
o1230	8	-374.120292
o1232	8	-225.209442
o1233	8	-293.119310
o1234	8	-322.971702
o1235	8	-444.880798
o1236	7	-523.054114
o1237	8	-674.883646
o1238	8	-721.104217
o123	8	-547.270560
o1240	7	-517.069456
o1241	8	-326.509517
o1242	8	-450.728119
o1243	8	-388.259998
o1244	7	-293.419621
o1245	8	-446.262251
o1246	8	-258.620821
o1247	8	-172.778837
o1248	7	-374.645136
o1249	8	-529.013974
o124	8	-432.496347
o1250	7	-543.959191
o1251	7	-402.060302
o1252	7	-1167.789837
o1253	8	-369.932528
o1254	8	-1040.343047
o1255	8	-2015.414057
o1256	8	-306.202907
o1257	7	-589.175935
o1258	8	-490.830981
o1259	8	-156.000303
o125	8	-630.139240
o1260	8	-271.767829
o1261	7	-444.960160
o1262	8	-317.494690
o1263	8	-410.053113
o1264	8	-1068.750582
o1265	8	-189.450039
o1266	8	-801.326405
o1267	8	-249.565659
o1268	8	-407.386388
o1269	8	-262.141934
o126	7	-565.908212
o1270	8	-542.299800
o1271	7	-352.100941
o1272	8	-404.120674
o1273	8	-2137.758179
o1274	8	-453.518733
o1275	8	-395.725891
o1277	8	-507.879407
o1278	8	-299.356399
o1279	8	-156.012841
o127	8	-383.097302
o1280	8	-264.960429
o1281	8	-407.235620
o1282	8	-438.920559
o1283	8	-439.660864
o1284	8	-300.133808
o1285	8	-146.020443
o1287	8	-708.255089
o1288	8	-277.732372
o1289	8	-222.025031
o128	8	-1040.860876
o1290	8	-630.639291
o1291	8	-1164.418258
o1292	7	-868.157771
o1293	8	-226.178872
o1294	8	-284.600120
o1295	8	-726.612131
o1296	8	-615.759433
o1297	7	-474.363617
o1298	8	-660.157622
o1299	8	-642.964250
o129	8	-1368.046596
o12	8	-702.335855
o1300	8	-304.014734
o1301	8	-469.782596
o1302	8	-278.627772
o1303	8	-540.886670
o1304	8	-574.396876
o1305	8	-328.648879
o1306	8	-260.579912
o1307	8	-299.061195
o1308	8	-515.201367
o1309	8	-221.536941
o130	7	-450.460408
o1310	7	-464.447090
o1311	8	-684.070662
o1312	8	-244.907614
o1313	7	-325.526411
o1314	8	-348.358186
o1315	8	-236.370065
o1316	8	-550.610047
o1317	8	-733.301801
o1318	8	-472.740492
o1319	8	-216.604085
o131	8	-598.589882
o1320	8	-545.183583
o1321	8	-210.514372
o1322	8	-286.853147
o1323	8	-2220.610628
o1324	8	-66.386916
o1325	8	-150.260358
o1326	8	-537.929411
o1327	8	-464.288817
o1328	7	-503.585123
o1329	7	-281.823186
o132	8	-774.481757
o1331	8	-517.626483
o1333	8	-182.249579
o1334	8	-332.919965
o1335	7	-420.975148
o1336	8	-606.627228
o1337	8	-751.493983
o1338	8	-242.670784
o1339	8	-561.296933
o133	7	-186.507756
o1340	8	-404.720408
o1341	8	-217.533553
o1342	8	-406.367927
o1343	7	-377.836057
o1344	8	-493.640555
o1345	8	-734.555273
o1346	8	-611.608151
o1349	8	-341.846004
o134	8	-421.489860
o1350	8	-312.676540
o1351	8	-256.380115
o1352	8	-268.350141
o1353	8	-400.974282
o1354	8	-577.838768
o1355	8	-370.003556
o1356	8	-471.576732
o1357	8	-642.497907
o1358	8	-759.230199
o1359	8	-527.743506
o135	8	-267.797284
o1360	8	-346.534804
o1361	8	-419.788773
o1362	8	-977.818266
o1363	8	-338.584688
o1364	8	-220.116689
o1365	8	-303.427699
o1366	8	-488.228073
o1367	8	-522.314931
o1368	7	-578.931300
