contig	numParameters	likelihood
o1000	7	-234.263765
o1001	6	-391.239367
o1002	7	-592.787694
o1003	6	-327.216786
o1004	6	-382.565738
o1005	7	-671.486506
o1006	6	-857.477115
o1007	7	-329.913630
o1008	7	-240.838011
o1009	7	-330.755227
o100	7	-492.684455
o1010	7	-588.201036
o1011	7	-166.730374
o1012	7	-446.122690
o1013	7	-451.540476
o1014	7	-299.433399
o1015	7	-1253.117741
o1016	7	-341.736981
o1017	7	-1978.845457
o1018	7	-376.978917
o1019	7	-246.504338
o101	7	-320.763099
o1020	6	-462.908943
o1021	7	-1256.586508
o1022	7	-349.803060
o1023	7	-736.016840
o1024	6	-485.387251
o1025	7	-359.688693
o1026	6	-287.732452
o1027	7	-390.445733
o1028	7	-799.104584
o1029	7	-372.683716
o102	7	-226.834204
o1030	7	-577.467449
o1031	7	-312.875381
o1032	6	-1100.207441
o1033	7	-342.682204
o1034	6	-834.736505
o1035	7	-391.866011
o1036	7	-421.218479
o1037	7	-358.752761
o1038	7	-298.477087
o1039	7	-557.009226
o103	7	-784.670124
o1040	7	-460.519026
o1041	7	-528.271049
o1042	7	-309.643820
o1043	7	-660.026878
o1044	7	-748.710048
o1045	7	-270.728819
o1046	7	-502.942990
o1047	7	-185.703935
o1048	7	-357.073366
o1049	7	-346.554648
o104	6	-1721.014217
o1050	7	-580.140473
o1051	7	-335.376541
o1052	7	-311.279499
o1053	7	-412.633807
o1054	7	-676.155793
o1055	7	-373.660993
o1056	7	-398.784227
o1057	7	-1222.043025
o1058	7	-568.048270
o1059	6	-1984.792216
o105	7	-255.568224
o1060	6	-481.210861
o1061	7	-473.203635
o1062	6	-378.429583
o1063	7	-269.478529
o1064	7	-263.507033
o1065	7	-140.054278
o1066	7	-677.688656
o1067	6	-293.110528
o1068	7	-276.028269
o1069	7	-1591.835965
o106	7	-470.283291
o1070	7	-521.166129
o1071	7	-221.186921
o1072	6	-341.634469
o1073	6	-1193.377373
o1074	7	-186.503171
o1075	7	-633.897934
o1076	7	-248.516201
o1077	7	-164.912435
o1078	7	-760.720526
o1079	7	-526.329996
o107	7	-1768.127106
o1080	7	-503.367206
o1081	7	-623.391323
o1082	6	-351.035322
o1083	7	-1579.194608
o1084	7	-478.780015
o1085	7	-566.298559
o1086	6	-314.295175
o1087	7	-175.657465
o1088	7	-471.934184
o1089	7	-271.149795
o108	6	-288.798111
o1090	7	-381.489673
o1091	7	-784.144166
o1092	7	-383.122691
o1093	7	-654.742830
o1094	7	-497.150372
o1095	7	-927.536295
o1096	7	-605.206417
o1097	6	-291.872806
o1098	6	-287.421695
o1099	7	-1825.496144
o109	7	-278.278406
o10	7	-805.165700
o1100	6	-518.637574
o1101	7	-196.601063
o1102	7	-287.888716
o1103	7	-430.775542
o1104	6	-382.914132
o1105	6	-255.761649
o1106	7	-447.575615
o1107	7	-313.121710
o1108	6	-336.029393
o1109	7	-591.839368
o110	7	-325.259891
o1110	7	-657.011469
o1111	7	-529.353723
o1112	7	-335.626006
o1113	7	-960.161348
o1114	7	-1067.717970
o1115	7	-298.583102
o1116	7	-308.735944
o1117	7	-216.932887
o1118	7	-366.320859
o1119	7	-440.514699
o111	7	-563.849874
o1120	7	-384.648406
o1121	7	-521.430239
o1122	7	-343.599725
o1123	7	-22.721958
o1124	6	-227.888266
o1125	7	-31.048591
o1126	6	-447.314416
o1127	6	-405.462894
o1128	6	-365.509821
o1129	7	-334.248279
o112	6	-324.946186
o1130	6	-961.038551
o1131	6	-892.913186
o1132	7	-306.203251
o1133	6	-383.012022
o1134	7	-443.760221
o1135	7	-334.934552
o1136	7	-710.501049
o1137	7	-599.094231
o1138	7	-318.262245
o1139	7	-501.615856
o113	7	-289.242810
o1140	7	-295.570277
o1141	7	-675.736517
o1142	7	-608.889927
o1143	7	-354.993946
o1144	7	-261.960312
o1145	7	-434.432028
o1146	6	-204.845126
o1147	7	-185.354819
o1148	6	-389.204923
o1149	7	-492.859155
o114	7	-243.684745
o1150	7	-134.653259
o1151	6	-751.648398
o1152	6	-1200.639925
o1153	7	-805.317404
o1154	7	-318.635243
o1155	6	-684.688096
o1156	6	-454.968515
o1157	7	-724.407721
o1158	6	-561.687145
o1159	7	-208.706549
o115	6	-500.821244
o1160	7	-1051.822415
o1161	6	-657.112739
o1162	7	-611.522775
o1163	7	-359.872732
o1164	7	-498.612277
o1165	6	-532.161296
o1166	7	-399.657756
o1167	7	-396.430244
o1168	7	-209.333145
o1169	7	-601.302819
o116	7	-322.465128
o1170	7	-384.786849
o1171	7	-585.255719
o1172	7	-390.394074
o1173	7	-383.768980
o1174	7	-222.470830
o1175	7	-579.060505
o1176	7	-239.652037
o1177	7	-570.886662
o1178	7	-212.726495
o1179	6	-249.136979
o117	7	-98.458451
o1180	7	-381.670389
o1181	6	-194.741671
o1182	7	-331.470202
o1183	6	-720.295526
o1184	7	-852.213327
o1185	6	-967.315366
o1186	7	-261.823179
o1187	7	-997.121230
o1188	7	-576.528421
o1189	6	-610.341711
o118	6	-314.204730
o1190	7	-668.050391
o1191	7	-530.829510
o1192	7	-1490.169576
o1193	7	-577.491469
o1194	6	-421.104929
