la	lo	p.values	contig	contigs.null	adj.p
-234.263765	-234.263765	1	o1000	o1000	1
-391.239367	-391.239367	1	o1001	o1001	1
-592.787694	-592.787694	1	o1002	o1002	1
-327.216786	-327.216786	1	o1003	o1003	1
-671.336132	-671.336132	1	o1005	o1005	1
-857.721192	-857.721193	0.998871621210455	o1006	o1006	1
-329.91363	-329.91363	1	o1007	o1007	1
-240.838011	-240.838031	0.994953768596724	o1008	o1008	1
-330.755186	-330.755228	0.992687369584872	o1009	o1009	1
-492.683236	-492.687117	0.929795437210946	o100	o100	1
-589.778433	-589.778433	1	o1010	o1010	1
-166.73038	-166.730386	0.997236052329068	o1011	o1011	1
-446.12269	-446.12269	1	o1012	o1012	1
-448.799282	-449.035257	0.492091442606528	o1013	o1013	1
-297.523352	-297.754421	0.496626467567653	o1014	o1014	1
-1253.297895	-1253.297895	1	o1015	o1015	1
-338.93569	-341.889988	0.0150671757366704	o1016	o1016	0.421279930175097
-1978.675281	-1978.675281	1	o1017	o1017	1
-378.199731	-378.199731	1	o1018	o1018	1
-246.504338	-246.504338	1	o1019	o1019	1
-320.763099	-320.763099	1	o101	o101	1
-462.908943	-462.908943	1	o1020	o1020	1
-1256.505302	-1256.505302	1	o1021	o1021	1
-349.80306	-349.80306	1	o1022	o1022	1
-736.01684	-736.01684	1	o1023	o1023	1
-485.387251	-485.387251	1	o1024	o1024	1
-360.735733	-360.735733	1	o1025	o1025	1
-287.732452	-287.732452	1	o1026	o1026	1
-389.737972	-389.737972	1	o1027	o1027	1
-799.104584	-799.104584	1	o1028	o1028	1
-373.627196	-373.627196	1	o1029	o1029	1
-226.834204	-226.834204	1	o102	o102	1
-576.519664	-576.792951	0.45972094467125	o1030	o1030	1
-312.875381	-312.875381	1	o1031	o1031	1
-1091.25229	-1100.207437	2.31565216332899e-05	o1032	o1032	0.00143745978140488
-342.682204	-342.682204	1	o1033	o1033	1
-834.736505	-834.736505	1	o1034	o1034	1
-391.866011	-391.866011	1	o1035	o1035	1
-421.218479	-421.218479	1	o1036	o1036	1
-358.752761	-358.752761	1	o1037	o1037	1
-298.477087	-298.477087	1	o1038	o1038	1
-557.009226	-557.009226	1	o1039	o1039	1
-784.927631	-784.927631	1	o103	o103	1
-461.571634	-461.569216	1	o1040	o1040	1
-527.750198	-527.750198	1	o1041	o1041	1
-309.64382	-309.64382	1	o1042	o1042	1
-660.027138	-660.026878	1	o1043	o1043	1
-747.223799	-747.223799	1	o1044	o1044	1
-270.728819	-270.728818	1	o1045	o1045	1
-485.1526	-502.942956	2.44698474972341e-09	o1046	o1046	6.02610777698551e-07
-185.703935	-185.703935	1	o1047	o1047	1
-357.073366	-357.073366	1	o1048	o1048	1
-346.554648	-346.554648	1	o1049	o1049	1
-578.978891	-580.140473	0.127460530821657	o1050	o1050	1
-336.241838	-336.241838	1	o1051	o1051	1
-311.279499	-311.279499	1	o1052	o1052	1
-412.633807	-412.633807	1	o1053	o1053	1
-676.26777	-676.26777	1	o1054	o1054	1
-373.660993	-373.660993	1	o1055	o1055	1
-398.784227	-398.784227	1	o1056	o1056	1
-1222.498897	-1222.498897	1	o1057	o1057	1
-569.368122	-569.368122	1	o1058	o1058	1
-1984.792213	-1984.792216	0.998045591872232	o1059	o1059	1
-255.56829	-255.568249	1	o105	o105	1
-481.210862	-481.210862	1	o1060	o1060	1
-473.203635	-473.203643	0.996808470271566	o1061	o1061	1
-269.478529	-269.478529	1	o1063	o1063	1
-263.507033	-263.507023	1	o1064	o1064	1
-140.054278	-140.054278	1	o1065	o1065	1
-677.526036	-677.526036	1	o1066	o1066	1
-293.110531	-293.110531	1	o1067	o1067	1
-276.809025	-276.809025	1	o1068	o1068	1
-1591.835965	-1591.835965	1	o1069	o1069	1
-470.225656	-470.225656	1	o106	o106	1
-521.166129	-521.166132	0.998045591909264	o1070	o1070	1
-221.186921	-221.186921	1	o1071	o1071	1
-1193.174412	-1193.377373	0.524046628084469	o1073	o1073	1
-186.503171	-186.503171	1	o1074	o1074	1
-634.009275	-634.009275	1	o1075	o1075	1
-248.167337	-248.516201	0.403548173849028	o1076	o1076	1
-164.912435	-164.912435	1	o1077	o1077	1
-760.718606	-760.716798	1	o1078	o1078	1
-526.866854	-526.866854	1	o1079	o1079	1
-1768.155799	-1768.155799	1	o107	o107	1
-503.367206	-503.367206	1	o1080	o1080	1
-623.391323	-623.391323	1	o1081	o1081	1
-1581.015072	-1581.015077	0.997476871657695	o1083	o1083	1
-468.797758	-474.742926	0.000564259417398235	o1084	o1084	0.0239583251479205
-561.280231	-565.4634	0.00382235085322553	o1085	o1085	0.131960411699207
-314.295175	-314.295175	1	o1086	o1086	1
-175.657452	-175.657465	0.99593158868535	o1087	o1087	1
-474.079971	-474.079971	1	o1088	o1088	1
-271.149883	-271.149883	1	o1089	o1089	1
-288.798116	-288.798118	0.998404231944254	o108	o108	1
